team,player,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing
Carolina Panthers,Chuba Hubbard,9,23,2.6,0,9
Carolina Panthers,Bryce Young,3,18,6.0,0,8
Carolina Panthers,Raheem Blackshear,2,7,3.5,0,4
Carolina Panthers,Miles Sanders,2,-5,-2.5,0,1
Chicago Bears,D'Onta Foreman,21,80,3.8,1,11
Chicago Bears,Roschon Johnson,5,18,3.6,0,6
Chicago Bears,Tyler Scott,1,16,16.0,0,16
Chicago Bears,Tyson Bagent,6,12,2.0,0,7
Chicago Bears,Darrynton Evans,2,5,2.5,0,3
Chicago Bears,DJ Moore,1,1,1.0,0,1
Chicago Bears,Cole Kmet,1,1,1.0,0,1
Indianapolis Colts,Jonathan Taylor,23,69,3.0,1,10
Indianapolis Colts,Zack Moss,1,2,2.0,0,2
Indianapolis Colts,Gardner Minshew,2,-1,-0.5,0,0
New England Patriots,Rhamondre Stevenson,20,88,4.4,0,10
New England Patriots,Ezekiel Elliott,13,54,4.2,0,9
New England Patriots,Mac Jones,3,25,8.3,0,15
Houston Texans,Devin Singletary,30,150,5.0,1,22
Houston Texans,Xavier Hutchinson,1,17,17.0,0,17
Houston Texans,Tank Dell,1,13,13.0,0,13
Houston Texans,C.J. Stroud,2,8,4.0,1,8
Cincinnati Bengals,Joe Mixon,11,46,4.2,1,15
Cincinnati Bengals,Joe Burrow,5,20,4.0,0,17
New Orleans Saints,Alvin Kamara,9,42,4.7,0,9
New Orleans Saints,Derek Carr,1,10,10.0,0,10
New Orleans Saints,Jamaal Williams,4,7,1.8,0,3
New Orleans Saints,Taysom Hill,1,6,6.0,0,6
Minnesota Vikings,Ty Chandler,15,45,3.0,1,13
Minnesota Vikings,Joshua Dobbs,8,44,5.5,1,11
Minnesota Vikings,Alexander Mattison,8,27,3.4,0,9
Minnesota Vikings,Kene Nwangwu,2,9,4.5,0,8
Green Bay Packers,AJ Dillon,9,70,7.8,0,40
Green Bay Packers,Aaron Jones,13,35,2.7,0,9
Green Bay Packers,Jordan Love,2,11,5.5,0,8
Pittsburgh Steelers,Jaylen Warren,15,101,6.7,1,20
Pittsburgh Steelers,Najee Harris,16,82,5.1,1,24
Pittsburgh Steelers,Kenny Pickett,4,16,4.0,0,11
Pittsburgh Steelers,Calvin Austin III,1,6,6.0,0,6
Tennessee Titans,Derrick Henry,11,24,2.2,0,8
Tennessee Titans,Tyjae Spears,5,18,3.6,0,15
Tampa Bay Buccaneers,Rachaad White,20,51,2.6,0,11
Tampa Bay Buccaneers,Baker Mayfield,3,12,4.0,0,9
Tampa Bay Buccaneers,Chase Edmonds,4,9,2.3,0,9
Tampa Bay Buccaneers,Deven Thompkins,1,6,6.0,0,6
Tampa Bay Buccaneers,Kyle Trask,1,-1,-1.0,0,-1
San Francisco 49ers,Christian McCaffrey,16,95,5.9,0,19
San Francisco 49ers,Deebo Samuel,3,29,9.7,1,23
San Francisco 49ers,Elijah Mitchell,8,23,2.9,0,8
San Francisco 49ers,Sam Darnold,3,-3,-1.0,0,-1
Jacksonville Jaguars,Travis Etienne Jr.,9,35,3.9,0,16
Jacksonville Jaguars,D'Ernest Johnson,3,12,4.0,0,5
Jacksonville Jaguars,Trevor Lawrence,2,7,3.5,0,4
Jacksonville Jaguars,Tank Bigsby,3,5,1.7,0,3
Cleveland Browns,Jerome Ford,17,107,6.3,0,28
Cleveland Browns,Deshaun Watson,8,37,4.6,0,16
Cleveland Browns,Kareem Hunt,10,32,3.2,1,13
Cleveland Browns,Harrison Bryant,1,2,2.0,0,2
Baltimore Ravens,Lamar Jackson,8,41,5.1,0,9
Baltimore Ravens,Keaton Mitchell,3,34,11.3,1,39
Baltimore Ravens,Gus Edwards,11,24,2.2,1,6
Baltimore Ravens,Justice Hill,2,7,3.5,0,4
Atlanta Falcons,Bijan Robinson,22,95,4.3,1,17
Atlanta Falcons,Taylor Heinicke,4,34,8.5,0,16
Atlanta Falcons,Tyler Allgeier,9,31,3.4,0,8
Atlanta Falcons,Cordarrelle Patterson,3,13,4.3,0,6
Atlanta Falcons,Desmond Ridder,3,11,3.7,1,9
Arizona Cardinals,James Conner,16,73,4.6,0,11
Arizona Cardinals,Kyler Murray,6,33,5.5,1,13
Arizona Cardinals,Tony Jones Jr.,1,13,13.0,0,13
Arizona Cardinals,Keaontay Ingram,2,2,1.0,0,2
Arizona Cardinals,Clayton Tune,1,1,1.0,1,1
Detroit Lions,David Montgomery,12,116,9.7,1,75
Detroit Lions,Jahmyr Gibbs,14,77,5.5,2,35
Detroit Lions,Amon-Ra St. Brown,2,9,4.5,0,6
Detroit Lions,Jared Goff,3,-2,-0.7,0,0
Los Angeles Chargers,Austin Ekeler,19,67,3.5,1,17
Los Angeles Chargers,Joshua Kelley,5,16,3.2,0,4
Los Angeles Chargers,Justin Herbert,4,15,3.8,0,13
New York Giants,Saquon Barkley,13,66,5.1,0,21
New York Giants,Tommy DeVito,7,41,5.9,0,19
New York Giants,Matt Breida,1,3,3.0,0,3
New York Giants,Jashaun Corbin,1,1,1.0,0,1
New York Giants,Wan'Dale Robinson,1,0,0.0,0,0
Dallas Cowboys,Rico Dowdle,12,79,6.6,1,21
Dallas Cowboys,Tony Pollard,15,55,3.7,0,15
Dallas Cowboys,Dak Prescott,2,17,8.5,1,10
Dallas Cowboys,CeeDee Lamb,1,14,14.0,1,14
Dallas Cowboys,Cooper Rush,2,5,2.5,0,6
Dallas Cowboys,Deuce Vaughn,1,-2,-2.0,0,-2
Washington Commanders,Brian Robinson Jr.,8,38,4.8,0,15
Washington Commanders,Sam Howell,2,17,8.5,0,15
Washington Commanders,Antonio Gibson,4,13,3.3,0,6
Seattle Seahawks,Kenneth Walker III,19,63,3.3,0,13
Seattle Seahawks,Zach Charbonnet,6,44,7.3,0,12
Seattle Seahawks,Geno Smith,1,13,13.0,0,13
New York Jets,Zach Wilson,4,54,13.5,0,20
New York Jets,Breece Hall,13,28,2.2,0,7
New York Jets,Dalvin Cook,4,26,6.5,0,10
Las Vegas Raiders,Josh Jacobs,27,116,4.3,0,40
Las Vegas Raiders,DeAndre Carter,1,15,15.0,0,15
Las Vegas Raiders,Tre Tucker,1,9,9.0,0,9
Las Vegas Raiders,Zamir White,1,5,5.0,0,5
