team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Los Angeles Chargers,Easton Stick,23/32,257,8.0,3,1,3-23,32.1,113.7
Las Vegas Raiders,Aidan O'Connell,20/34,248,7.3,4,0,1-6,77.4,120.7
Las Vegas Raiders,Jakobi Meyers,2/2,12,6.0,1,0,0-0,99.9,131.2
Minnesota Vikings,Nick Mullens,26/33,303,9.2,2,2,3-22,43.7,99.9
Minnesota Vikings,Justin Jefferson,0/1,0,0.0,0,0,0-0,14.2,39.6
Cincinnati Bengals,Jake Browning,29/42,324,7.7,2,1,4-22,54.4,97.7
Cincinnati Bengals,Tanner Hudson,0/0,0,0.0,0,0,1-4,0.0,0.0
Pittsburgh Steelers,Mitch Trubisky,16/23,169,7.3,1,2,3-19,29.5,68.9
Pittsburgh Steelers,Mason Rudolph,2/3,3,1.0,0,0,1-11,0.5,70.1
Indianapolis Colts,Gardner Minshew,18/28,215,7.7,3,0,3-13,40.8,123.4
Denver Broncos,Russell Wilson,18/32,223,7.0,1,0,2-19,46.0,88.4
Detroit Lions,Jared Goff,24/34,278,8.2,5,0,2-15,75.7,134.6
Chicago Bears,Justin Fields,19/40,166,4.2,1,2,3-18,16.8,46.5
Cleveland Browns,Joe Flacco,28/44,374,8.5,2,3,4-31,24.6,77.3
Cleveland Browns,Dorian Thompson-Robinson,1/1,5,5.0,0,0,0-0,100.0,87.5
Tampa Bay Buccaneers,Baker Mayfield,22/28,381,13.6,4,0,5-28,80.7,158.3
Green Bay Packers,Jordan Love,29/39,284,7.3,2,0,2-23,51.7,111.5
Houston Texans,Case Keenum,23/36,229,6.4,1,1,3-27,35.6,79.5
Houston Texans,Davis Mills,0/0,0,0.0,0,0,1-10,16.9,0.0
Tennessee Titans,Will Levis,17/26,199,7.7,0,1,7-61,27.4,72.4
New York Jets,Trevor Siemian,14/26,110,4.2,0,2,2-19,23.8,32.5
New York Jets,Zach Wilson,4/11,26,2.4,0,0,4-37,3.2,44.9
Miami Dolphins,Tua Tagovailoa,21/24,224,9.3,1,0,3-15,62.2,119.4
Miami Dolphins,Mike White,2/2,4,2.0,0,0,0-0,1.3,79.2
Kansas City Chiefs,Patrick Mahomes,27/37,305,8.2,2,2,3-26,64.9,92.7
Kansas City Chiefs,Jerick McKinnon,1/1,4,4.0,1,0,0-0,89.8,122.9
New England Patriots,Bailey Zappe,23/31,180,5.8,1,1,4-26,25.7,85.4
New York Giants,Tommy DeVito,20/34,177,5.2,0,0,7-57,14.4,72.8
New York Giants,Tyrod Taylor,2/4,13,3.3,0,0,0-0,77.8,57.3
New Orleans Saints,Derek Carr,23/28,218,7.8,3,0,1-9,88.3,134.8
New Orleans Saints,Taysom Hill,0/1,0,0.0,0,0,0-0,4.1,39.6
Atlanta Falcons,Desmond Ridder,12/20,152,7.6,1,1,0-0,14.1,79.6
Carolina Panthers,Bryce Young,18/24,167,7.0,0,0,3-13,57.9,93.6
Washington Commanders,Jacoby Brissett,8/10,124,12.4,2,0,0-0,94.0,157.9
Washington Commanders,Sam Howell,11/26,102,3.9,1,1,1-8,27.5,50.5
Los Angeles Rams,Matthew Stafford,25/33,258,7.8,2,0,3-9,84.2,118.0
San Francisco 49ers,Brock Purdy,16/25,242,9.7,4,0,0-0,92.5,135.3
San Francisco 49ers,Sam Darnold,2/3,20,6.7,0,0,0-0,9.5,85.4
Arizona Cardinals,Kyler Murray,26/39,211,5.4,1,2,3-9,21.7,67.4
Dallas Cowboys,Dak Prescott,21/34,134,3.9,0,1,3-28,39.3,57.7
Buffalo Bills,Josh Allen,7/15,94,6.3,1,0,1-9,54.4,89.3
Baltimore Ravens,Lamar Jackson,14/24,171,7.1,1,1,3-26,69.8,76.9
Jacksonville Jaguars,Trevor Lawrence,25/43,264,6.1,1,0,1-6,49.7,83.9
Philadelphia Eagles,Jalen Hurts,17/31,143,4.6,0,2,0-0,56.8,40.1
Seattle Seahawks,Drew Lock,22/33,208,6.3,1,0,2-11,57.5,94.0
