team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Los Angeles Chargers,Cameron Dicker,0/0,0.0,0,3/3,3
Las Vegas Raiders,Daniel Carlson,0/0,0.0,0,9/9,9
Minnesota Vikings,Greg Joseph,1/1,100.0,39,3/3,6
Cincinnati Bengals,Evan McPherson,2/2,100.0,34,3/3,9
Pittsburgh Steelers,Chris Boswell,0/0,0.0,0,1/2,1
Indianapolis Colts,Matt Gay,3/5,60.0,42,3/3,12
Denver Broncos,Wil Lutz,1/1,100.0,23,2/2,5
Detroit Lions,Michael Badgley,0/0,0.0,0,6/6,6
Chicago Bears,Cairo Santos,1/1,100.0,41,2/2,5
Cleveland Browns,Dustin Hopkins,2/2,100.0,34,2/2,8
Tampa Bay Buccaneers,Chase McLaughlin,2/2,100.0,46,4/4,10
Green Bay Packers,Anders Carlson,2/2,100.0,36,2/2,8
Houston Texans,Ka'imi Fairbairn,4/4,100.0,54,1/1,13
Tennessee Titans,Nick Folk,1/1,100.0,45,1/2,4
Miami Dolphins,Jason Sanders,3/3,100.0,37,3/3,12
Kansas City Chiefs,Harrison Butker,2/3,67.0,54,3/3,9
New England Patriots,Chad Ryland,1/2,50.0,25,2/2,5
New York Giants,Randy Bullock,1/1,100.0,56,0/0,3
New York Giants,Jamie Gillan,1/1,100.0,40,0/0,3
New Orleans Saints,Blake Grupe,1/1,100.0,50,3/3,6
Atlanta Falcons,Younghoe Koo,0/0,0.0,0,1/1,1
Carolina Panthers,Eddy Pineiro,3/3,100.0,34,0/0,9
Washington Commanders,Joey Slye,0/0,0.0,0,2/3,2
Los Angeles Rams,Lucas Havrisik,2/3,67.0,27,2/2,8
San Francisco 49ers,Jake Moody,1/1,100.0,43,6/6,9
Arizona Cardinals,Matt Prater,3/3,100.0,58,2/2,11
Dallas Cowboys,Brandon Aubrey,1/1,100.0,32,1/1,4
Buffalo Bills,Tyler Bass,1/1,100.0,23,4/4,7
Baltimore Ravens,Justin Tucker,3/3,100.0,43,2/2,11
Jacksonville Jaguars,Brandon McManus,0/2,0.0,0,1/1,1
Philadelphia Eagles,Jake Elliott,1/1,100.0,27,2/2,5
Seattle Seahawks,Jason Myers,2/2,100.0,43,2/2,8
