team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Washington Commanders,Joey Slye,2/3,67.0,38,0/0,6
Chicago Bears,Cairo Santos,0/0,0.0,0,1/1,1
San Francisco 49ers,Robbie Gould,0/0,0.0,0,2/2,2
Atlanta Falcons,Younghoe Koo,0/0,0.0,0,4/4,4
New England Patriots,Nick Folk,1/2,50.0,19,5/5,8
Cleveland Browns,Cade York,3/3,100.0,51,0/0,9
New York Jets,Greg Zuerlein,2/3,67.0,32,3/3,9
Green Bay Packers,Mason Crosby,1/2,50.0,29,1/1,4
Jacksonville Jaguars,Riley Patterson,0/0,0.0,0,3/3,3
Indianapolis Colts,Chase McLaughlin,2/2,100.0,42,2/2,8
Minnesota Vikings,Greg Joseph,1/1,100.0,34,1/2,4
Miami Dolphins,Jason Sanders,1/2,50.0,44,1/1,4
Cincinnati Bengals,Evan McPherson,1/1,100.0,52,3/3,6
New Orleans Saints,Wil Lutz,4/4,100.0,37,2/2,14
Baltimore Ravens,Justin Tucker,2/3,67.0,34,2/2,8
New York Giants,Graham Gano,1/1,100.0,34,3/3,6
Tampa Bay Buccaneers,Ryan Succop,4/4,100.0,54,0/0,12
Pittsburgh Steelers,Chris Boswell,2/2,100.0,55,2/2,8
Carolina Panthers,Eddy Pineiro,1/1,100.0,42,1/1,4
Los Angeles Rams,Matt Gay,1/1,100.0,21,3/3,6
Arizona Cardinals,Matt Ammendola,1/1,100.0,23,0/1,3
Seattle Seahawks,Jason Myers,4/4,100.0,39,1/1,13
Buffalo Bills,Tyler Bass,1/1,100.0,39,3/3,6
Kansas City Chiefs,Harrison Butker,2/3,67.0,62,2/2,8
Dallas Cowboys,Brett Maher,1/2,50.0,30,2/2,5
Philadelphia Eagles,Jake Elliott,2/2,100.0,51,2/2,8
Denver Broncos,Brandon McManus,3/3,100.0,51,1/1,10
Los Angeles Chargers,Dustin Hopkins,4/4,100.0,39,1/1,13
