team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New England Patriots,Nick Folk,4/4,100.0,53,1/2,13
Atlanta Falcons,Younghoe Koo,0/1,0.0,0,0/0,0
Indianapolis Colts,Michael Badgley,2/2,100.0,36,5/5,11
Buffalo Bills,Tyler Bass,0/2,0.0,0,1/1,1
Baltimore Ravens,Justin Tucker,3/3,100.0,46,1/1,10
Chicago Bears,Cairo Santos,0/1,0.0,0,1/1,1
Detroit Lions,Aldrick Rosas,1/1,100.0,43,1/1,4
Cleveland Browns,Chase McLaughlin,0/1,0.0,0,1/2,1
Houston Texans,Ka'imi Fairbairn,3/3,100.0,43,1/2,10
Tennessee Titans,Randy Bullock,0/0,0.0,0,1/2,1
Green Bay Packers,Mason Crosby,1/2,50.0,54,4/4,7
Minnesota Vikings,Greg Joseph,2/2,100.0,51,2/3,8
Miami Dolphins,Jason Sanders,1/2,50.0,24,3/3,6
New York Jets,Matt Ammendola,1/3,33.0,35,2/2,5
New Orleans Saints,Brett Maher,1/1,100.0,28,2/3,5
Philadelphia Eagles,Jake Elliott,4/4,100.0,50,4/4,16
Washington,Joey Slye,2/2,100.0,36,3/3,9
Carolina Panthers,Zane Gonzalez,0/0,0.0,0,3/3,3
San Francisco 49ers,Robbie Gould,3/3,100.0,48,3/3,12
Jacksonville Jaguars,Matthew Wright,1/1,100.0,30,1/1,4
Cincinnati Bengals,Evan McPherson,4/4,100.0,54,2/3,14
Las Vegas Raiders,Daniel Carlson,2/2,100.0,47,1/1,7
Dallas Cowboys,Greg Zuerlein,3/3,100.0,48,0/0,9
Kansas City Chiefs,Harrison Butker,2/3,67.0,53,1/2,7
Arizona Cardinals,Matt Prater,1/3,33.0,53,2/3,5
Seattle Seahawks,Jason Myers,2/2,100.0,27,1/1,7
Pittsburgh Steelers,Chris Boswell,3/3,100.0,45,4/4,13
Los Angeles Chargers,Dustin Hopkins,2/2,100.0,41,5/5,11
New York Giants,Graham Gano,1/1,100.0,37,1/1,4
Tampa Bay Buccaneers,Ryan Succop,3/3,100.0,40,3/3,12
