team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New England Patriots,Mac Jones,22/26,207,8.0,1,1,3-33,41.9,96.6
Atlanta Falcons,Matt Ryan,19/28,153,5.5,0,2,4-33,23.6,51.6
Atlanta Falcons,Josh Rosen,1/3,5,1.7,0,1,0-0,0.3,2.8
Atlanta Falcons,Feleipe Franks,0/1,0,0.0,0,1,0-0,0.0,0.0
Indianapolis Colts,Carson Wentz,11/20,106,5.3,1,0,0-0,76.5,86.7
Buffalo Bills,Josh Allen,21/35,209,6.0,2,2,1-8,49.5,72.2
Buffalo Bills,Mitch Trubisky,3/5,19,3.8,0,1,0-0,4.7,28.3
Baltimore Ravens,Tyler Huntley,26/36,219,6.1,0,1,6-43,39.0,76.0
Chicago Bears,Andy Dalton,11/23,201,8.7,2,0,1-18,48.9,107.3
Chicago Bears,Justin Fields,4/11,79,7.2,0,0,2-1,9.8,62.3
Detroit Lions,Tim Boyle,15/23,77,3.3,0,2,0-0,10.5,34.1
Cleveland Browns,Baker Mayfield,15/29,176,6.1,1,2,1-11,10.5,53.2
Houston Texans,Tyrod Taylor,14/24,107,4.5,0,0,0-0,80.3,69.3
Tennessee Titans,Ryan Tannehill,35/52,323,6.2,1,4,2-6,21.1,58.4
Green Bay Packers,Aaron Rodgers,23/33,385,11.7,4,0,2-13,91.7,148.4
Minnesota Vikings,Kirk Cousins,24/35,341,9.7,3,0,2-23,80.7,128.4
Miami Dolphins,Tua Tagovailoa,27/33,273,8.3,2,1,0-0,79.0,108.7
Miami Dolphins,Albert Wilson,0/1,0,0.0,0,0,0-0,0.0,39.6
New York Jets,Joe Flacco,24/39,291,7.5,2,0,2-13,45.7,101.5
New Orleans Saints,Trevor Siemian,22/40,214,5.4,3,2,0-0,24.6,74.4
Philadelphia Eagles,Jalen Hurts,13/24,147,6.1,0,0,3-9,72.3,72.7
Washington,Taylor Heinicke,16/22,206,9.4,3,0,3-27,92.7,141.3
Carolina Panthers,Cam Newton,21/27,189,7.0,2,0,1-3,72.5,120.5
San Francisco 49ers,Jimmy Garoppolo,16/22,176,8.0,2,0,2-14,84.0,126.3
Jacksonville Jaguars,Trevor Lawrence,16/25,158,6.3,0,0,3-12,36.9,81.8
Cincinnati Bengals,Joe Burrow,20/29,148,5.1,1,0,3-19,55.7,92.3
Las Vegas Raiders,Derek Carr,19/27,215,8.0,1,1,2-9,38.2,90.8
Dallas Cowboys,Dak Prescott,28/43,216,5.0,0,2,5-22,11.2,57.9
Kansas City Chiefs,Patrick Mahomes,23/37,260,7.0,0,1,3-16,51.0,71.9
Arizona Cardinals,Colt McCoy,35/44,328,7.5,2,0,2-10,81.9,112.9
Seattle Seahawks,Russell Wilson,14/26,207,8.0,0,0,4-27,20.2,80.1
Pittsburgh Steelers,Ben Roethlisberger,28/44,273,6.2,3,0,3-28,65.7,103.7
Los Angeles Chargers,Justin Herbert,30/41,382,9.3,3,1,2-8,90.1,116.1
New York Giants,Daniel Jones,23/38,167,4.4,1,2,2-18,22.2,57.7
New York Giants,Kadarius Toney,0/1,0,0.0,0,0,0-0,1.4,39.6
Tampa Bay Buccaneers,Tom Brady,30/46,307,6.7,2,1,0-0,72.1,89.7
Tampa Bay Buccaneers,Blaine Gabbert,2/2,11,5.5,0,0,1-10,44.8,89.6
