team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Dallas Cowboys,Greg Zuerlein,3/5,60.0,48,2/3,11
Tampa Bay Buccaneers,Ryan Succop,1/1,100.0,36,4/4,7
Philadelphia Eagles,Jake Elliott,1/1,100.0,43,3/3,6
Atlanta Falcons,Younghoe Koo,2/2,100.0,27,0/0,6
Pittsburgh Steelers,Chris Boswell,3/3,100.0,45,2/2,11
Buffalo Bills,Tyler Bass,3/3,100.0,42,1/1,10
Minnesota Vikings,Greg Joseph,1/1,100.0,53,3/3,6
Cincinnati Bengals,Evan McPherson,2/2,100.0,53,3/3,9
San Francisco 49ers,Robbie Gould,2/3,67.0,52,5/5,11
Detroit Lions,Austin Seibert,1/2,50.0,49,2/2,5
Arizona Cardinals,Matt Prater,1/2,50.0,34,5/5,8
Tennessee Titans,Michael Badgley,0/1,0.0,0,1/2,1
Seattle Seahawks,Jason Myers,0/0,0.0,0,4/4,4
Indianapolis Colts,Rodrigo Blankenship,1/1,100.0,21,1/1,4
Los Angeles Chargers,Tristan Vizcaino,2/2,100.0,33,2/2,8
Washington,Dustin Hopkins,3/4,75.0,48,1/1,10
Carolina Panthers,Ryan Santoso,2/2,100.0,29,1/2,7
Jacksonville Jaguars,Josh Lambo,0/1,0.0,0,3/3,3
Houston Texans,Joey Slye,3/3,100.0,40,4/4,13
Cleveland Browns,Chase McLaughlin,0/0,0.0,0,3/3,3
Kansas City Chiefs,Harrison Butker,2/2,100.0,43,3/3,9
Miami Dolphins,Jason Sanders,1/1,100.0,48,2/2,5
New England Patriots,Nick Folk,3/3,100.0,42,1/1,10
Green Bay Packers,Mason Crosby,1/1,100.0,39,0/0,3
New Orleans Saints,Aldrick Rosas,1/1,100.0,44,5/5,8
Denver Broncos,Brandon McManus,2/2,100.0,36,3/3,9
New York Giants,Graham Gano,0/0,0.0,0,1/1,1
Chicago Bears,Cairo Santos,0/0,0.0,0,2/2,2
Los Angeles Rams,Matt Gay,2/2,100.0,53,4/4,10
Baltimore Ravens,Justin Tucker,2/2,100.0,47,3/3,9
Las Vegas Raiders,Daniel Carlson,2/2,100.0,55,3/3,9
