team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Atlanta Falcons,Younghoe Koo,1/1,100.0,33,0/2,3
Carolina Panthers,Eddy Pineiro,4/4,100.0,49,1/2,13
Seattle Seahawks,Jason Myers,1/1,100.0,55,1/1,4
Tampa Bay Buccaneers,Ryan Succop,0/1,0.0,0,3/3,3
Minnesota Vikings,Greg Joseph,2/2,100.0,33,3/4,9
Buffalo Bills,Tyler Bass,3/3,100.0,45,3/3,12
Detroit Lions,Michael Badgley,1/1,100.0,25,4/4,7
Chicago Bears,Cairo Santos,1/1,100.0,33,3/4,6
Denver Broncos,Brandon McManus,1/1,100.0,39,1/1,4
Tennessee Titans,Randy Bullock,1/1,100.0,35,2/2,5
Jacksonville Jaguars,Riley Patterson,1/3,33.0,35,2/2,5
Kansas City Chiefs,Harrison Butker,0/0,0.0,0,3/4,3
Cleveland Browns,Cade York,1/1,100.0,37,2/2,5
Miami Dolphins,Jason Sanders,2/2,100.0,39,3/5,9
Houston Texans,Ka'imi Fairbairn,3/3,100.0,46,1/1,10
New York Giants,Graham Gano,1/1,100.0,49,3/3,6
New Orleans Saints,Wil Lutz,1/1,100.0,44,1/1,4
Pittsburgh Steelers,Matthew Wright,2/4,50.0,33,2/2,8
Indianapolis Colts,Chase McLaughlin,2/3,67.0,48,1/1,7
Las Vegas Raiders,Daniel Carlson,0/0,0.0,0,2/2,2
Dallas Cowboys,Brett Maher,0/0,0.0,0,4/4,4
Green Bay Packers,Mason Crosby,1/2,50.0,28,4/4,7
Arizona Cardinals,Tristan Vizcaino,2/2,100.0,46,3/3,9
Los Angeles Rams,Matt Gay,1/1,100.0,36,2/2,5
Los Angeles Chargers,Cameron Dicker,3/3,100.0,47,1/1,10
San Francisco 49ers,Robbie Gould,3/3,100.0,26,1/2,10
Washington Commanders,Joey Slye,4/4,100.0,58,2/2,14
Philadelphia Eagles,Jake Elliott,0/0,0.0,0,3/3,3
