team,player,fumbles,fumblesLost,fumblesRecovered
Seattle Seahawks,Geno Smith,1,1,0
Tampa Bay Buccaneers,Anthony Nelson,0,0,1
Minnesota Vikings,Kirk Cousins,2,0,0
Minnesota Vikings,Eric Kendricks,0,0,1
Minnesota Vikings,Dalvin Cook,0,0,2
Minnesota Vikings,Camryn Bynum,0,0,1
Buffalo Bills,Josh Allen,1,1,0
Buffalo Bills,Devin Singletary,1,1,0
Detroit Lions,Jared Goff,1,0,0
Detroit Lions,Kalif Raymond,0,0,1
Chicago Bears,Justin Fields,1,0,0
Denver Broncos,Russell Wilson,3,0,2
Denver Broncos,Mike Purcell,0,0,1
Denver Broncos,Quinn Bailey,0,0,1
Tennessee Titans,Malik Willis,1,1,0
Tennessee Titans,C.J. Board,1,0,1
Jacksonville Jaguars,Adam Gotsis,0,0,1
Jacksonville Jaguars,Devin Lloyd,0,0,1
Kansas City Chiefs,Isiah Pacheco,1,1,0
Kansas City Chiefs,Jody Fortson,1,1,0
Kansas City Chiefs,Patrick Mahomes,1,0,1
Cleveland Browns,Nick Chubb,1,1,0
Cleveland Browns,Ethan Pocic,1,0,0
Cleveland Browns,Jacoby Brissett,0,0,1
Miami Dolphins,Robert Hunt,1,0,0
Miami Dolphins,Xavien Howard,0,0,1
Miami Dolphins,Tua Tagovailoa,0,0,1
Houston Texans,Dameon Pierce,1,1,0
Houston Texans,Scott Quessenberry,1,0,0
Houston Texans,Davis Mills,0,0,1
New York Giants,Jaylon Smith,0,0,1
New Orleans Saints,Andy Dalton,2,0,2
Pittsburgh Steelers,Najee Harris,1,0,0
Pittsburgh Steelers,Chukwuma Okorafor,0,0,1
Indianapolis Colts,Keke Coutee,1,1,0
Indianapolis Colts,Michael Pittman Jr.,1,0,1
Las Vegas Raiders,Jayon Brown,0,0,1
Dallas Cowboys,Peyton Hendershot,1,0,0
Dallas Cowboys,Jayron Kearse,0,0,1
Dallas Cowboys,Luke Gifford,0,0,1
Dallas Cowboys,Sean McKeon,0,0,1
Green Bay Packers,Aaron Rodgers,1,1,0
Green Bay Packers,Amari Rodgers,1,1,0
Green Bay Packers,Aaron Jones,1,0,1
Arizona Cardinals,Colt McCoy,1,0,0
Arizona Cardinals,Trey McBride,1,0,1
Arizona Cardinals,J.J. Watt,0,0,1
Arizona Cardinals,James Conner,0,0,1
Los Angeles Rams,John Wolford,2,1,0
Los Angeles Rams,Darrell Henderson Jr.,0,0,1
Los Angeles Chargers,Justin Herbert,1,0,0
Los Angeles Chargers,Asante Samuel Jr.,0,0,1
Los Angeles Chargers,Jamaree Salyer,0,0,1
San Francisco 49ers,Brandon Aiyuk,1,1,0
Washington Commanders,Taylor Heinicke,1,1,1
Washington Commanders,Tyler Larsen,1,0,0
Washington Commanders,Casey Toohill,0,0,1
Washington Commanders,Darrick Forrest,0,0,1
Washington Commanders,Jamin Davis,0,0,1
Philadelphia Eagles,Dallas Goedert,1,1,0
Philadelphia Eagles,Quez Watkins,1,1,0
Philadelphia Eagles,DeVonta Smith,1,1,0
Philadelphia Eagles,Marlon Tuipulotu,0,0,1
