team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Kansas City Chiefs,Harrison Butker,4/4,100.0,60,1/1,13
Baltimore Ravens,Justin Tucker,6/6,100.0,41,0/1,18
Tennessee Titans,Nick Folk,3/3,100.0,38,1/1,10
Washington Commanders,Joey Slye,1/1,100.0,37,3/3,6
Atlanta Falcons,Younghoe Koo,1/1,100.0,47,1/1,4
Minnesota Vikings,Greg Joseph,2/3,67.0,53,1/2,7
Chicago Bears,Cairo Santos,2/2,100.0,53,1/1,7
Seattle Seahawks,Jason Myers,2/2,100.0,55,1/1,7
Cincinnati Bengals,Evan McPherson,1/1,100.0,52,2/2,5
San Francisco 49ers,Jake Moody,1/3,33.0,25,2/2,5
Cleveland Browns,Dustin Hopkins,4/5,80.0,50,1/1,13
Carolina Panthers,Eddy Pineiro,0/1,0.0,0,3/3,3
Miami Dolphins,Jason Sanders,0/0,0.0,0,6/6,6
Indianapolis Colts,Matt Gay,2/2,100.0,56,2/2,8
Jacksonville Jaguars,Brandon McManus,3/3,100.0,51,4/4,13
New Orleans Saints,Blake Grupe,2/4,50.0,48,1/1,7
Houston Texans,Ka'imi Fairbairn,2/2,100.0,24,2/2,8
New England Patriots,Chad Ryland,1/1,100.0,43,2/2,5
Las Vegas Raiders,Daniel Carlson,4/4,100.0,37,1/1,13
Arizona Cardinals,Matt Prater,3/3,100.0,55,0/0,9
Los Angeles Rams,Brett Maher,4/4,100.0,43,2/2,14
Philadelphia Eagles,Jake Elliott,0/1,0.0,0,2/2,2
New York Jets,Greg Zuerlein,4/4,100.0,43,0/0,12
Detroit Lions,Riley Patterson,2/3,67.0,36,2/2,8
Tampa Bay Buccaneers,Chase McLaughlin,2/2,100.0,36,0/0,6
New York Giants,Graham Gano,3/3,100.0,43,0/0,9
Buffalo Bills,Tyler Bass,0/2,0.0,0,2/2,2
Dallas Cowboys,Brandon Aubrey,2/2,100.0,39,2/2,8
Los Angeles Chargers,Cameron Dicker,1/1,100.0,24,2/2,5
