team,player,fumbles,fumblesLost,fumblesRecovered
Green Bay Packers,Aaron Jones,1,0,0
Green Bay Packers,Randall Cobb,0,0,1
Chicago Bears,Sam Mustipher,1,0,0
Chicago Bears,Justin Fields,1,0,1
Chicago Bears,Jaylon Johnson,0,0,1
Chicago Bears,Trestan Ebner,0,0,1
Chicago Bears,Jack Sanborn,0,0,1
Atlanta Falcons,Cordarrelle Patterson,1,1,0
Atlanta Falcons,Avery Williams,1,1,0
Cleveland Browns,Jacoby Brissett,1,1,0
Buffalo Bills,Matt Milano,0,0,1
Philadelphia Eagles,Jalen Hurts,2,1,1
Philadelphia Eagles,A.J. Brown,1,1,0
Philadelphia Eagles,Jason Kelce,1,0,0
Philadelphia Eagles,T.J. Edwards,0,0,1
Indianapolis Colts,Jonathan Taylor,1,1,0
Indianapolis Colts,Keke Coutee,1,0,1
Indianapolis Colts,Eric Johnson II,0,0,1
Indianapolis Colts,Grover Stewart,0,0,1
New York Jets,Braxton Berrios,1,0,0
New England Patriots,Jonnu Smith,1,0,1
Detroit Lions,D'Andre Swift,1,0,1
Detroit Lions,Aidan Hutchinson,0,0,1
New York Giants,Isaiah Hodgins,1,1,0
Carolina Panthers,Shi Smith,2,1,1
Baltimore Ravens,Marlon Humphrey,0,0,1
Washington Commanders,Taylor Heinicke,1,0,1
Denver Broncos,Melvin Gordon III,1,0,0
Denver Broncos,Montrell Washington,1,0,0
Denver Broncos,Quinn Meinerz,0,0,1
Dallas Cowboys,KaVontae Turpin,1,0,0
Dallas Cowboys,Dorance Armstrong,0,0,1
Minnesota Vikings,Kirk Cousins,1,1,0
Minnesota Vikings,Jalen Reagor,1,0,0
Minnesota Vikings,Theo Jackson,0,0,1
Pittsburgh Steelers,Steven Sims,1,0,1
Kansas City Chiefs,Jerick McKinnon,1,1,0
Kansas City Chiefs,Patrick Mahomes,1,0,1
Kansas City Chiefs,Frank Clark,0,0,1
Los Angeles Chargers,Keenan Allen,1,1,0
Los Angeles Chargers,Alohi Gilman,0,0,1
Arizona Cardinals,James Conner,1,0,0
