team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Tennessee Titans,Ryan Tannehill,22/27,333,12.3,2,1,3-17,78.1,127.3
Tennessee Titans,Derrick Henry,2/2,4,2.0,1,0,0-0,94.7,118.8
Green Bay Packers,Aaron Rodgers,24/39,227,5.8,2,0,1-12,50.6,94.7
Chicago Bears,Justin Fields,14/21,153,7.3,1,1,4-25,35.9,84.0
Atlanta Falcons,Marcus Mariota,13/20,131,6.6,1,0,0-0,36.2,100.2
Cleveland Browns,Jacoby Brissett,28/41,324,7.9,3,0,1-8,62.2,116.3
Buffalo Bills,Josh Allen,18/27,197,7.3,1,0,2-11,69.2,100.4
Philadelphia Eagles,Jalen Hurts,18/25,190,7.6,1,0,3-17,71.9,107.1
Indianapolis Colts,Matt Ryan,23/32,213,6.7,0,0,4-28,51.3,89.7
New York Jets,Zach Wilson,9/22,77,3.5,0,0,4-33,20.3,50.8
New England Patriots,Mac Jones,23/27,246,9.1,0,0,6-48,23.1,104.6
Los Angeles Rams,Matthew Stafford,11/18,159,8.8,2,0,1-9,82.3,126.9
Los Angeles Rams,Bryce Perkins,5/10,64,6.4,0,0,3-26,42.8,70.4
New Orleans Saints,Andy Dalton,21/25,260,10.4,3,0,3-32,84.8,149.6
New Orleans Saints,Taysom Hill,1/3,14,4.7,0,0,1-7,26.9,49.3
Detroit Lions,Jared Goff,17/26,165,6.3,0,0,0-0,65.2,83.0
New York Giants,Daniel Jones,27/44,341,7.8,1,2,2-17,41.7,74.1
Carolina Panthers,Baker Mayfield,21/33,196,5.9,0,2,4-27,21.2,54.6
Baltimore Ravens,Lamar Jackson,24/33,209,6.3,0,1,3-16,23.6,76.5
Washington Commanders,Taylor Heinicke,15/27,191,7.1,0,0,0-0,54.2,77.9
Houston Texans,Davis Mills,19/33,169,5.1,0,2,5-42,12.8,46.1
Las Vegas Raiders,Derek Carr,23/37,307,8.3,2,0,1-9,72.0,106.5
Denver Broncos,Russell Wilson,24/31,247,8.0,0,0,3-21,36.4,99.8
Dallas Cowboys,Dak Prescott,22/25,276,11.0,2,0,0-0,94.1,139.3
Dallas Cowboys,Cooper Rush,4/5,31,6.2,0,0,0-0,46.1,92.5
Minnesota Vikings,Kirk Cousins,12/23,105,4.6,0,0,7-49,14.9,64.6
Minnesota Vikings,Nick Mullens,5/7,54,7.7,0,0,0-0,57.6,93.8
Cincinnati Bengals,Joe Burrow,24/39,355,9.1,4,2,2-9,55.9,104.1
Pittsburgh Steelers,Kenny Pickett,25/42,265,6.3,1,0,2-16,62.1,85.9
Kansas City Chiefs,Patrick Mahomes,20/34,329,9.7,3,0,1-7,82.4,120.8
Los Angeles Chargers,Justin Herbert,23/30,280,9.3,2,1,5-30,83.3,113.2
San Francisco 49ers,Jimmy Garoppolo,20/29,228,7.9,4,0,0-0,79.3,131.9
Arizona Cardinals,Colt McCoy,24/34,218,6.4,0,1,3-30,42.7,75.4
Arizona Cardinals,Trace McSorley,6/10,59,5.9,0,1,0-0,31.1,37.1
