team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Tennessee Titans,Josh Lambo,0/0,0.0,0,3/4,3
Green Bay Packers,Mason Crosby,1/1,100.0,39,0/1,3
Chicago Bears,Cairo Santos,1/2,50.0,41,3/3,6
Atlanta Falcons,Younghoe Koo,2/2,100.0,53,3/3,9
Cleveland Browns,Cade York,1/2,50.0,32,2/2,5
Buffalo Bills,Tyler Bass,6/6,100.0,56,1/1,19
Philadelphia Eagles,Jake Elliott,1/1,100.0,22,2/2,5
Indianapolis Colts,Chase McLaughlin,3/4,75.0,51,1/1,10
New York Jets,Greg Zuerlein,1/1,100.0,45,0/0,3
New England Patriots,Nick Folk,1/3,33.0,24,1/1,4
Los Angeles Rams,Matt Gay,2/2,100.0,58,2/2,8
New Orleans Saints,Wil Lutz,2/2,100.0,46,3/3,9
Detroit Lions,Michael Badgley,1/1,100.0,24,4/4,7
New York Giants,Graham Gano,0/0,0.0,0,0/2,0
Carolina Panthers,Eddy Pineiro,1/1,100.0,32,0/0,3
Baltimore Ravens,Justin Tucker,2/2,100.0,37,1/1,7
Washington Commanders,Joey Slye,3/3,100.0,44,2/2,11
Houston Texans,Ka'imi Fairbairn,1/1,100.0,29,1/1,4
Las Vegas Raiders,Daniel Carlson,3/4,75.0,57,1/1,10
Denver Broncos,Brandon McManus,3/4,75.0,52,1/1,10
Dallas Cowboys,Brett Maher,4/4,100.0,60,4/4,16
Minnesota Vikings,Greg Joseph,1/1,100.0,25,0/0,3
Cincinnati Bengals,Evan McPherson,3/3,100.0,54,4/4,13
Pittsburgh Steelers,Matthew Wright,3/3,100.0,42,3/3,12
Kansas City Chiefs,Harrison Butker,3/3,100.0,52,3/3,12
Los Angeles Chargers,Cameron Dicker,2/2,100.0,46,3/3,9
San Francisco 49ers,Robbie Gould,1/1,100.0,39,5/5,8
Arizona Cardinals,Matt Prater,1/1,100.0,40,1/1,4
