team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New York Jets,Trevor Siemian,32/45,261,5.8,1,1,2-8,33.1,83.7
Cleveland Browns,Joe Flacco,19/29,309,10.7,3,1,1-8,59.0,121.2
Detroit Lions,Jared Goff,19/34,271,8.0,1,2,1-7,32.5,67.2
Detroit Lions,Jalen Reeves-Maybin,1/1,31,31.0,0,0,0-0,--,118.8
Dallas Cowboys,Dak Prescott,26/38,345,9.1,2,1,3-22,60.3,103.5
New England Patriots,Bailey Zappe,16/26,209,8.0,0,3,3-18,25.9,47.3
Buffalo Bills,Josh Allen,15/30,169,5.6,0,1,1-15,21.3,53.3
Atlanta Falcons,Taylor Heinicke,10/29,163,5.6,1,3,2-7,38.9,26.1
Atlanta Falcons,Desmond Ridder,3/4,17,4.3,0,1,0-0,14.1,42.7
Chicago Bears,Justin Fields,20/32,268,8.4,1,0,3-28,65.4,99.5
Las Vegas Raiders,Aidan O'Connell,30/47,299,6.4,2,0,2-13,63.8,96.0
Indianapolis Colts,Gardner Minshew,15/23,224,9.7,1,0,1-9,90.4,111.5
Los Angeles Rams,Matthew Stafford,24/34,317,9.3,1,2,4-31,43.6,85.0
New York Giants,Tyrod Taylor,27/41,319,7.8,1,1,6-35,52.0,87.3
Arizona Cardinals,Kyler Murray,25/31,232,7.5,3,1,1-4,85.6,116.7
Philadelphia Eagles,Jalen Hurts,18/23,167,7.3,3,1,0-0,77.0,118.4
Philadelphia Eagles,Kenneth Gainwell,1/1,17,17.0,0,0,0-0,98.9,118.8
New Orleans Saints,Derek Carr,24/32,197,6.2,2,0,1-6,89.3,111.1
New Orleans Saints,Taysom Hill,1/2,11,5.5,0,0,0-0,37.0,66.7
Tampa Bay Buccaneers,Baker Mayfield,22/33,309,9.4,2,2,2-17,19.8,91.6
San Francisco 49ers,Brock Purdy,22/28,230,8.2,2,0,0-0,87.9,124.7
San Francisco 49ers,Sam Darnold,0/0,0,0.0,0,0,1-6,0.2,0.0
Washington Commanders,Sam Howell,17/28,169,6.0,1,2,1-6,18.9,60.0
Carolina Panthers,Bryce Young,19/32,112,3.5,0,1,6-45,12.4,53.1
Jacksonville Jaguars,C.J. Beathard,17/24,178,7.4,0,0,3-16,79.8,92.0
Miami Dolphins,Tua Tagovailoa,22/38,237,6.2,2,2,3-16,43.0,71.9
Baltimore Ravens,Lamar Jackson,18/21,321,15.3,5,0,1-9,95.2,158.3
Baltimore Ravens,Tyler Huntley,1/1,19,19.0,1,0,0-0,100.0,158.3
Tennessee Titans,Ryan Tannehill,16/20,168,8.4,0,0,5-40,20.7,101.7
Tennessee Titans,Will Levis,2/6,16,2.7,0,0,1-10,5.0,42.4
Houston Texans,C.J. Stroud,24/32,213,6.7,1,0,1-12,51.6,102.7
Pittsburgh Steelers,Mason Rudolph,18/24,274,11.4,0,0,1-8,71.4,112.2
Seattle Seahawks,Geno Smith,23/33,290,8.8,1,0,1-9,75.2,106.9
Los Angeles Chargers,Easton Stick,24/38,220,5.8,0,0,1-5,52.5,78.8
Denver Broncos,Jarrett Stidham,20/32,224,7.0,1,0,2-12,31.8,93.8
Cincinnati Bengals,Jake Browning,19/33,197,6.0,1,0,6-38,78.7,85.0
Kansas City Chiefs,Patrick Mahomes,21/29,245,8.4,1,0,2-4,52.0,109.1
Green Bay Packers,Jordan Love,24/33,256,7.8,3,0,0-0,82.3,125.3
Green Bay Packers,Sean Clifford,1/1,37,37.0,0,0,0-0,100.0,118.8
Minnesota Vikings,Nick Mullens,13/22,113,5.1,1,0,1-8,14.5,87.9
Minnesota Vikings,Jaren Hall,5/10,67,6.7,0,1,3-28,1.2,32.1
