team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New York Jets,Greg Zuerlein,2/3,67.0,46,2/2,8
Cleveland Browns,Riley Patterson,1/1,100.0,33,4/5,7
Detroit Lions,Michael Badgley,2/2,100.0,41,1/1,7
Dallas Cowboys,Brandon Aubrey,2/2,100.0,51,2/2,8
New England Patriots,Chad Ryland,0/1,0.0,0,3/3,3
Buffalo Bills,Tyler Bass,2/2,100.0,35,3/3,9
Atlanta Falcons,Younghoe Koo,1/3,33.0,38,2/2,5
Chicago Bears,Cairo Santos,3/4,75.0,42,4/4,13
Las Vegas Raiders,Daniel Carlson,2/2,100.0,40,2/2,8
Indianapolis Colts,Matt Gay,3/3,100.0,45,2/2,11
Los Angeles Rams,Lucas Havrisik,0/0,0.0,0,2/4,2
New York Giants,Mason Crosby,2/3,67.0,32,1/2,7
Arizona Cardinals,Matt Prater,2/2,100.0,34,3/3,9
Philadelphia Eagles,Jake Elliott,1/1,100.0,43,4/4,7
New Orleans Saints,Blake Grupe,3/3,100.0,45,2/2,11
Tampa Bay Buccaneers,Chase McLaughlin,0/0,0.0,0,1/1,1
San Francisco 49ers,Jake Moody,2/2,100.0,38,3/3,9
Washington Commanders,Joey Slye,1/1,100.0,47,1/1,4
Jacksonville Jaguars,Brandon McManus,4/4,100.0,35,2/2,14
Miami Dolphins,Jason Sanders,2/2,100.0,38,1/1,7
Baltimore Ravens,Justin Tucker,0/0,0.0,0,8/8,8
Tennessee Titans,Nick Folk,1/1,100.0,53,0/0,3
Houston Texans,Ka'imi Fairbairn,4/4,100.0,51,2/2,14
Pittsburgh Steelers,Chris Boswell,3/3,100.0,39,3/3,12
Seattle Seahawks,Jason Myers,3/3,100.0,43,2/2,11
Los Angeles Chargers,Cameron Dicker,3/4,75.0,52,0/0,9
Denver Broncos,Wil Lutz,3/4,75.0,43,1/1,10
Cincinnati Bengals,Evan McPherson,1/1,100.0,34,2/2,5
Kansas City Chiefs,Harrison Butker,6/6,100.0,54,1/1,19
Green Bay Packers,Anders Carlson,2/2,100.0,37,3/4,9
Minnesota Vikings,Greg Joseph,1/1,100.0,54,1/1,4
