team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Philadelphia Eagles,Jalen Hurts,21/27,243,9.0,2,0,4-26,76.7,128.9
Houston Texans,Davis Mills,13/22,154,7.0,2,2,3-19,43.9,72.9
Los Angeles Chargers,Justin Herbert,30/43,245,5.7,1,1,0-0,78.1,82.0
Atlanta Falcons,Marcus Mariota,12/23,129,5.6,0,0,2-15,43.1,68.9
Miami Dolphins,Tua Tagovailoa,21/30,302,10.1,3,0,0-0,80.7,135.7
Chicago Bears,Justin Fields,17/28,123,4.4,3,0,2-7,96.2,106.7
Carolina Panthers,Baker Mayfield,14/20,155,7.8,2,0,0-0,83.0,126.0
Carolina Panthers,PJ Walker,3/10,9,0.9,0,2,0-0,2.6,0.0
Cincinnati Bengals,Joe Burrow,22/28,206,7.4,1,0,1-5,82.2,109.2
Cincinnati Bengals,Brandon Allen,3/3,22,7.3,0,0,1-0,46.5,97.2
Green Bay Packers,Aaron Rodgers,23/43,291,6.8,1,3,1-8,26.5,53.5
Detroit Lions,Jared Goff,14/26,137,5.3,2,1,0-0,27.5,78.5
Indianapolis Colts,Sam Ehlinger,15/29,103,3.6,0,1,9-60,11.6,45.6
New England Patriots,Mac Jones,20/30,147,4.9,1,0,4-14,29.1,89.2
Buffalo Bills,Josh Allen,18/34,205,6.0,0,2,5-22,67.4,46.8
New York Jets,Zach Wilson,18/25,154,6.2,1,0,2-18,78.6,101.1
Minnesota Vikings,Kirk Cousins,22/40,265,6.6,2,1,2-17,63.6,81.8
Minnesota Vikings,Nick Mullens,1/1,-3,-3.0,0,0,0-0,4.3,79.2
Washington Commanders,Taylor Heinicke,15/28,149,5.3,2,1,3-23,30.6,77.8
Las Vegas Raiders,Derek Carr,21/36,259,7.2,2,0,2-11,61.2,99.2
Jacksonville Jaguars,Trevor Lawrence,25/31,235,7.6,1,0,0-0,85.8,109.0
Seattle Seahawks,Geno Smith,26/34,275,8.1,2,1,2-12,80.0,106.9
Arizona Cardinals,Kyler Murray,25/35,175,5.0,2,0,5-35,46.5,101.5
Los Angeles Rams,Matthew Stafford,13/27,165,6.1,1,0,4-27,34.4,80.0
Tampa Bay Buccaneers,Tom Brady,36/58,280,4.8,1,0,1-8,56.0,79.7
Tennessee Titans,Malik Willis,5/16,80,5.0,0,0,3-23,10.7,49.0
Kansas City Chiefs,Patrick Mahomes,43/68,446,6.6,1,1,4-24,72.7,80.9
Baltimore Ravens,Lamar Jackson,12/22,133,6.0,1,0,3-2,77.5,87.9
New Orleans Saints,Andy Dalton,19/29,210,7.2,1,1,4-28,26.1,84.0
New Orleans Saints,Taysom Hill,1/1,13,13.0,0,0,0-0,84.6,118.8
