team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Philadelphia Eagles,Jake Elliott,0/1,0.0,0,3/3,3
Houston Texans,Ka'imi Fairbairn,1/1,100.0,30,2/2,5
Los Angeles Chargers,Cameron Dicker,2/2,100.0,37,2/2,8
Atlanta Falcons,Younghoe Koo,1/2,50.0,29,2/2,5
Miami Dolphins,Jason Sanders,0/1,0.0,0,5/5,5
Chicago Bears,Cairo Santos,1/1,100.0,32,3/3,6
Carolina Panthers,Eddy Pineiro,0/0,0.0,0,3/3,3
Cincinnati Bengals,Evan McPherson,0/1,0.0,0,6/6,6
Green Bay Packers,Mason Crosby,1/1,100.0,25,0/0,3
Detroit Lions,Michael Badgley,0/0,0.0,0,1/1,1
Indianapolis Colts,Chase McLaughlin,1/2,50.0,40,0/0,3
New England Patriots,Nick Folk,4/4,100.0,49,2/2,14
Buffalo Bills,Tyler Bass,1/2,50.0,51,2/2,5
New York Jets,Greg Zuerlein,2/2,100.0,53,2/2,8
Minnesota Vikings,Greg Joseph,2/2,100.0,28,2/2,8
Washington Commanders,Joey Slye,1/1,100.0,44,2/2,5
Las Vegas Raiders,Daniel Carlson,2/2,100.0,38,2/2,8
Jacksonville Jaguars,Riley Patterson,2/3,67.0,48,3/3,9
Seattle Seahawks,Jason Myers,1/1,100.0,49,4/4,7
Arizona Cardinals,Matt Prater,0/0,0.0,0,3/3,3
Los Angeles Rams,Matt Gay,2/2,100.0,35,1/1,7
Tampa Bay Buccaneers,Ryan Succop,3/4,75.0,50,1/1,10
Tennessee Titans,Randy Bullock,1/1,100.0,44,2/2,5
Kansas City Chiefs,Harrison Butker,2/3,67.0,28,0/1,6
Baltimore Ravens,Justin Tucker,2/2,100.0,41,3/3,9
New Orleans Saints,Wil Lutz,2/2,100.0,37,1/1,7
