team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Philadelphia Eagles,Dallas Goedert,8,100,12.5,1,21,9
Philadelphia Eagles,A.J. Brown,4,59,14.8,1,31,6
Philadelphia Eagles,Quez Watkins,2,25,12.5,0,23,2
Philadelphia Eagles,DeVonta Smith,2,22,11.0,0,22,2
Philadelphia Eagles,Kenneth Gainwell,3,16,5.3,0,8,3
Philadelphia Eagles,Jack Stoll,1,13,13.0,0,13,2
Philadelphia Eagles,Zach Pascal,1,8,8.0,0,8,1
Houston Texans,Phillip Dorsett,3,69,23.0,0,34,5
Houston Texans,Chris Moore,4,43,10.8,1,25,5
Houston Texans,O.J. Howard,1,14,14.0,0,14,2
Houston Texans,Tyron Johnson,1,8,8.0,0,8,1
Houston Texans,Jalen Camp,1,7,7.0,0,7,1
Houston Texans,Rex Burkhead,1,6,6.0,0,6,2
Houston Texans,Brevin Jordan,1,5,5.0,0,5,2
Houston Texans,Teagan Quitoriano,1,2,2.0,1,2,1
Houston Texans,Jordan Akins,0,0,0.0,0,0,1
Houston Texans,Troy Hairston,0,0,0.0,0,0,1
Los Angeles Chargers,Joshua Palmer,8,106,13.3,0,25,10
Los Angeles Chargers,DeAndre Carter,5,53,10.6,0,23,6
Los Angeles Chargers,Gerald Everett,5,36,7.2,0,16,8
Los Angeles Chargers,Michael Bandy,5,26,5.2,0,11,8
Los Angeles Chargers,Austin Ekeler,7,24,3.4,1,13,8
Los Angeles Chargers,Richard Rodgers,0,0,0.0,0,0,2
Los Angeles Chargers,Sony Michel,0,0,0.0,0,0,1
Atlanta Falcons,Kyle Pitts,2,27,13.5,0,18,7
Atlanta Falcons,Tyler Allgeier,1,24,24.0,0,24,1
Atlanta Falcons,Drake London,3,23,7.7,0,12,7
Atlanta Falcons,KhaDarel Hodge,1,19,19.0,0,19,2
Atlanta Falcons,Olamide Zaccheaus,2,19,9.5,0,15,2
Atlanta Falcons,Cordarrelle Patterson,1,9,9.0,0,9,1
Atlanta Falcons,MyCole Pruitt,1,6,6.0,0,6,1
Atlanta Falcons,Avery Williams,1,2,2.0,0,2,1
Atlanta Falcons,Damiere Byrd,0,0,0.0,0,0,1
Miami Dolphins,Tyreek Hill,7,143,20.4,1,39,8
Miami Dolphins,Jaylen Waddle,5,85,17.0,1,26,7
Miami Dolphins,Trent Sherfield,3,27,9.0,0,18,3
Miami Dolphins,Cedrick Wilson Jr.,2,23,11.5,0,14,2
Miami Dolphins,Jeff Wilson Jr.,3,21,7.0,1,10,3
Miami Dolphins,Mike Gesicki,1,3,3.0,0,3,2
Miami Dolphins,Raheem Mostert,0,0,0.0,0,0,2
Miami Dolphins,Durham Smythe,0,0,0.0,0,0,2
Chicago Bears,Darnell Mooney,7,43,6.1,1,16,8
Chicago Bears,Cole Kmet,5,41,8.2,2,18,6
Chicago Bears,Chase Claypool,2,13,6.5,0,12,6
Chicago Bears,Dante Pettis,1,12,12.0,0,12,1
Chicago Bears,David Montgomery,1,8,8.0,0,8,2
Chicago Bears,N'Keal Harry,1,6,6.0,0,6,2
Chicago Bears,Equanimeous St. Brown,0,0,0.0,0,0,2
Carolina Panthers,Terrace Marshall Jr.,3,53,17.7,1,21,6
Carolina Panthers,Raheem Blackshear,4,40,10.0,0,27,4
Carolina Panthers,DJ Moore,2,24,12.0,0,14,6
Carolina Panthers,Shi Smith,1,20,20.0,0,20,2
Carolina Panthers,Tommy Tremble,2,11,5.5,1,8,4
Carolina Panthers,Spencer Brown,2,10,5.0,0,9,3
Carolina Panthers,Giovanni Ricci,1,8,8.0,0,8,1
Carolina Panthers,Laviska Shenault Jr.,0,0,0.0,0,0,1
Carolina Panthers,D'Onta Foreman,2,-2,-1.0,0,2,3
Cincinnati Bengals,Tee Higgins,7,60,8.6,0,17,8
Cincinnati Bengals,Joe Mixon,4,58,14.5,1,35,5
Cincinnati Bengals,Tyler Boyd,5,44,8.8,0,15,6
Cincinnati Bengals,Hayden Hurst,5,35,7.0,0,13,5
Cincinnati Bengals,Trenton Irwin,1,14,14.0,0,14,1
Cincinnati Bengals,Trent Taylor,2,14,7.0,0,9,2
Cincinnati Bengals,Samaje Perine,1,3,3.0,0,3,2
Cincinnati Bengals,Devin Asiasi,0,0,0.0,0,0,1
Green Bay Packers,Allen Lazard,4,87,21.8,1,47,10
Green Bay Packers,Josiah Deguara,5,41,8.2,0,25,5
Green Bay Packers,Samori Toure,2,34,17.0,0,32,4
Green Bay Packers,Robert Tonyan,3,29,9.7,0,17,4
Green Bay Packers,Christian Watson,2,24,12.0,0,18,2
Green Bay Packers,Aaron Jones,2,20,10.0,0,15,2
Green Bay Packers,Marcedes Lewis,1,19,19.0,0,19,1
Green Bay Packers,Romeo Doubs,1,18,18.0,0,18,1
Green Bay Packers,AJ Dillon,2,10,5.0,0,7,4
Green Bay Packers,Sammy Watkins,1,9,9.0,0,9,5
Green Bay Packers,David Bakhtiari,0,0,0.0,0,0,1
Green Bay Packers,Amari Rodgers,0,0,0.0,0,0,1
Detroit Lions,Amon-Ra St. Brown,4,55,13.8,0,25,9
Detroit Lions,D'Andre Swift,3,40,13.3,0,20,4
Detroit Lions,Kalif Raymond,3,17,5.7,0,9,3
Detroit Lions,Tom Kennedy,1,16,16.0,0,16,4
Detroit Lions,James Mitchell,2,8,4.0,1,5,2
Detroit Lions,Shane Zylstra,1,1,1.0,1,1,1
Detroit Lions,Brock Wright,0,0,0.0,0,0,1
Indianapolis Colts,Alec Pierce,1,23,23.0,0,23,2
Indianapolis Colts,Michael Pittman Jr.,3,22,7.3,0,10,6
Indianapolis Colts,Parris Campbell,2,15,7.5,0,11,5
Indianapolis Colts,Jordan Wilkins,4,15,3.8,0,9,5
Indianapolis Colts,Mo Alie-Cox,2,13,6.5,0,8,2
Indianapolis Colts,Deon Jackson,2,13,6.5,0,8,3
Indianapolis Colts,Jelani Woods,1,2,2.0,0,2,3
Indianapolis Colts,Phillip Lindsay,0,0,0.0,0,0,1
Indianapolis Colts,Kylen Granson,0,0,0.0,0,0,1
New England Patriots,Hunter Henry,4,50,12.5,0,30,4
New England Patriots,Jakobi Meyers,5,42,8.4,0,17,6
New England Patriots,Jonnu Smith,3,21,7.0,0,24,3
New England Patriots,Kendrick Bourne,3,11,3.7,0,10,4
New England Patriots,Rhamondre Stevenson,3,10,3.3,1,5,7
New England Patriots,J.J. Taylor,1,8,8.0,0,8,1
New England Patriots,Tyquan Thornton,1,5,5.0,0,5,4
Buffalo Bills,Stefon Diggs,5,93,18.6,0,42,10
Buffalo Bills,Gabe Davis,2,33,16.5,0,18,5
Buffalo Bills,Dawson Knox,3,25,8.3,0,17,4
Buffalo Bills,Devin Singletary,4,24,6.0,0,11,5
Buffalo Bills,James Cook,2,18,9.0,0,10,4
Buffalo Bills,Isaiah McKenzie,2,12,6.0,0,9,3
Buffalo Bills,Jake Kumerow,0,0,0.0,0,0,1
Buffalo Bills,Nyheim Hines,0,0,0.0,0,0,1
New York Jets,Garrett Wilson,8,92,11.5,0,24,9
New York Jets,C.J. Uzomah,3,16,5.3,0,6,3
New York Jets,Denzel Mims,1,12,12.0,0,12,4
New York Jets,Michael Carter,1,10,10.0,0,10,1
New York Jets,Tyler Conklin,1,7,7.0,0,7,2
New York Jets,Braxton Berrios,1,6,6.0,0,6,2
New York Jets,Jeff Smith,1,6,6.0,0,6,1
New York Jets,James Robinson,2,5,2.5,1,7,2
Minnesota Vikings,Justin Jefferson,7,115,16.4,1,47,13
Minnesota Vikings,T.J. Hockenson,9,70,7.8,0,19,9
Minnesota Vikings,Adam Thielen,3,67,22.3,0,36,7
Minnesota Vikings,Dalvin Cook,2,9,4.5,1,12,6
Minnesota Vikings,Johnny Mundt,1,1,1.0,0,1,1
Minnesota Vikings,K.J. Osborn,0,0,0.0,0,0,2
Minnesota Vikings,Alexander Mattison,1,0,0.0,0,0,1
Washington Commanders,Curtis Samuel,3,65,21.7,1,49,4
Washington Commanders,Terry McLaurin,5,56,11.2,0,18,9
Washington Commanders,Cam Sims,1,12,12.0,0,12,1
Washington Commanders,Antonio Gibson,2,11,5.5,0,10,3
Washington Commanders,Dax Milne,1,6,6.0,1,6,1
Washington Commanders,John Bates,1,5,5.0,0,5,2
Washington Commanders,Logan Thomas,0,0,0.0,0,0,3
Washington Commanders,Dyami Brown,0,0,0.0,0,0,1
Washington Commanders,Brian Robinson Jr.,2,-6,-3.0,0,-2,2
Las Vegas Raiders,Davante Adams,10,146,14.6,2,38,17
Las Vegas Raiders,Foster Moreau,2,42,21.0,0,30,5
Las Vegas Raiders,Hunter Renfrow,3,26,8.7,0,14,4
Las Vegas Raiders,Josh Jacobs,3,20,6.7,0,13,3
Las Vegas Raiders,Mack Hollins,2,17,8.5,0,13,4
