team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Minnesota Vikings,Greg Joseph,0/0,0.0,0,4/4,4
Philadelphia Eagles,Jake Elliott,2/3,67.0,61,4/4,10
Green Bay Packers,Anders Carlson,1/1,100.0,33,3/3,6
Atlanta Falcons,Younghoe Koo,4/4,100.0,39,1/2,13
Las Vegas Raiders,Daniel Carlson,1/1,100.0,47,1/1,4
Buffalo Bills,Tyler Bass,1/1,100.0,29,5/5,8
Baltimore Ravens,Justin Tucker,2/3,67.0,44,3/3,9
Cincinnati Bengals,Evan McPherson,1/1,100.0,27,3/3,6
Seattle Seahawks,Jason Myers,1/3,33.0,25,4/4,7
Detroit Lions,Riley Patterson,1/1,100.0,38,4/4,7
Los Angeles Chargers,Cameron Dicker,3/3,100.0,33,1/1,10
Tennessee Titans,Nick Folk,2/2,100.0,41,3/3,9
Chicago Bears,Cairo Santos,1/1,100.0,52,2/2,5
Tampa Bay Buccaneers,Chase McLaughlin,2/3,67.0,26,3/3,9
Kansas City Chiefs,Harrison Butker,1/1,100.0,38,2/2,5
Jacksonville Jaguars,Brandon McManus,3/3,100.0,49,0/0,9
Indianapolis Colts,Matt Gay,1/1,100.0,42,4/4,7
Houston Texans,Ka'imi Fairbairn,2/3,67.0,36,2/2,8
San Francisco 49ers,Jake Moody,3/3,100.0,57,3/3,12
Los Angeles Rams,Brett Maher,3/3,100.0,48,2/2,11
New York Giants,Graham Gano,1/1,100.0,34,4/4,7
Arizona Cardinals,Matt Prater,2/3,67.0,44,2/2,8
New York Jets,Austin Seibert,1/1,100.0,34,1/1,4
Dallas Cowboys,Brandon Aubrey,5/5,100.0,55,1/1,16
Washington Commanders,Joey Slye,2/4,50.0,49,3/3,9
Denver Broncos,Wil Lutz,2/2,100.0,32,3/3,9
Miami Dolphins,Jason Sanders,1/3,33.0,23,3/3,6
New England Patriots,Chad Ryland,1/1,100.0,49,2/2,5
New Orleans Saints,Blake Grupe,2/2,100.0,28,2/2,8
Carolina Panthers,Eddy Pineiro,3/3,100.0,54,0/0,9
Cleveland Browns,Dustin Hopkins,2/3,67.0,55,0/0,6
Pittsburgh Steelers,Chris Boswell,2/2,100.0,52,2/2,8
