team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New York Giants,Graham Gano,5/5,100.0,55,2/2,17
Washington,Dustin Hopkins,3/3,100.0,49,3/3,12
Cincinnati Bengals,Evan McPherson,1/1,100.0,53,2/2,5
Chicago Bears,Cairo Santos,2/2,100.0,28,2/2,8
Houston Texans,Joey Slye,0/1,0.0,0,3/3,3
Cleveland Browns,Chase McLaughlin,1/1,100.0,30,4/4,7
Los Angeles Rams,Matt Gay,2/2,100.0,38,3/3,9
Indianapolis Colts,Rodrigo Blankenship,3/3,100.0,48,1/1,10
Buffalo Bills,Tyler Bass,0/1,0.0,0,5/5,5
New England Patriots,Nick Folk,4/4,100.0,49,1/2,13
New York Jets,Matt Ammendola,2/3,67.0,35,0/0,6
San Francisco 49ers,Robbie Gould,1/1,100.0,46,2/2,5
Philadelphia Eagles,Jake Elliott,1/2,50.0,45,0/0,3
Las Vegas Raiders,Daniel Carlson,4/4,100.0,46,2/2,14
Pittsburgh Steelers,Chris Boswell,1/1,100.0,56,2/2,5
New Orleans Saints,Aldrick Rosas,0/0,0.0,55,1/1,1
Carolina Panthers,Zane Gonzalez,2/3,67.0,42,2/3,8
Denver Broncos,Brandon McManus,3/3,100.0,46,2/2,11
Jacksonville Jaguars,Josh Lambo,0/2,0.0,0,1/1,1
Minnesota Vikings,Greg Joseph,2/3,67.0,52,3/4,9
Arizona Cardinals,Matt Prater,2/2,100.0,62,4/4,10
Atlanta Falcons,Younghoe Koo,1/1,100.0,36,2/2,5
Tampa Bay Buccaneers,Ryan Succop,0/0,0.0,0,6/7,6
Dallas Cowboys,Greg Zuerlein,2/2,100.0,56,2/2,8
Los Angeles Chargers,Tristan Vizcaino,3/4,75.0,46,0/0,9
Tennessee Titans,Randy Bullock,4/5,80.0,36,3/3,15
Seattle Seahawks,Jason Myers,1/1,100.0,31,3/4,6
Kansas City Chiefs,Harrison Butker,0/0,0.0,0,5/5,5
Baltimore Ravens,Justin Tucker,1/1,100.0,43,3/3,6
Detroit Lions,Austin Seibert,1/1,100.0,43,2/2,5
Green Bay Packers,Mason Crosby,0/0,0.0,0,5/5,5
