team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New York Giants,Daniel Jones,22/32,249,7.8,1,0,4-21,68.2,102.2
Washington,Taylor Heinicke,34/46,336,7.3,2,1,1-16,50.2,99.5
Cincinnati Bengals,Joe Burrow,19/30,207,6.9,2,3,5-28,18.1,66.3
Chicago Bears,Justin Fields,6/13,60,4.6,0,1,2-25,5.5,27.7
Chicago Bears,Andy Dalton,9/11,56,5.1,1,0,1-8,84.2,118.2
Houston Texans,Tyrod Taylor,10/11,125,11.4,1,0,0-0,98.0,144.3
Houston Texans,Davis Mills,8/18,102,5.7,1,1,1-7,23.5,58.1
Cleveland Browns,Baker Mayfield,19/21,213,10.1,1,1,2-14,57.0,105.0
Los Angeles Rams,Matthew Stafford,19/30,278,9.3,2,1,1-8,72.9,101.8
Indianapolis Colts,Carson Wentz,20/31,247,8.0,1,1,3-27,66.1,86.4
Indianapolis Colts,Jacob Eason,2/5,25,5.0,0,1,0-0,0.1,16.7
Buffalo Bills,Josh Allen,17/33,179,5.4,2,1,1-8,75.5,75.2
Miami Dolphins,Jacoby Brissett,24/40,169,4.2,0,1,4-24,45.2,59.3
Miami Dolphins,Tua Tagovailoa,1/4,13,3.3,0,0,2-13,0.1,40.6
New England Patriots,Mac Jones,22/30,186,6.2,0,0,3-27,24.4,89.0
New York Jets,Zach Wilson,19/33,210,6.4,0,4,4-26,10.1,37.0
San Francisco 49ers,Jimmy Garoppolo,22/30,189,6.3,1,0,0-0,56.8,100.6
Philadelphia Eagles,Jalen Hurts,12/23,190,8.3,0,0,2-13,60.6,80.0
Philadelphia Eagles,Greg Ward,0/1,0,0.0,0,0,0-0,0.0,39.6
Las Vegas Raiders,Derek Carr,28/37,382,10.3,2,0,2-9,86.0,126.2
Pittsburgh Steelers,Ben Roethlisberger,27/40,295,7.4,1,1,2-3,27.0,87.0
New Orleans Saints,Jameis Winston,11/22,111,5.0,0,2,4-31,19.0,26.9
Carolina Panthers,Sam Darnold,26/38,305,8.0,2,1,2-11,83.5,99.1
Denver Broncos,Teddy Bridgewater,26/34,328,9.6,2,0,3-26,58.6,125.6
Jacksonville Jaguars,Trevor Lawrence,14/33,118,3.6,1,2,1-4,27.4,37.2
Minnesota Vikings,Kirk Cousins,22/32,244,7.6,3,0,1-2,84.2,122.4
Arizona Cardinals,Kyler Murray,29/36,400,11.1,3,2,3-29,78.5,117.6
Atlanta Falcons,Matt Ryan,35/46,300,6.5,2,3,1-7,44.3,80.0
Atlanta Falcons,Josh Rosen,0/2,0,0.0,0,0,0-0,1.1,39.6
Tampa Bay Buccaneers,Tom Brady,24/36,276,7.7,5,0,3-17,64.7,129.2
Dallas Cowboys,Dak Prescott,23/27,237,8.8,0,1,2-16,36.6,87.8
Los Angeles Chargers,Justin Herbert,31/41,338,8.2,1,2,2-25,49.2,87.2
Tennessee Titans,Ryan Tannehill,27/40,347,8.7,0,0,3-27,71.7,94.5
Seattle Seahawks,Russell Wilson,22/31,343,11.1,2,0,3-23,66.7,128.8
Kansas City Chiefs,Patrick Mahomes,24/31,343,11.1,3,1,0-0,77.6,131.5
Baltimore Ravens,Lamar Jackson,18/26,239,9.2,1,2,1-9,62.3,78.8
Detroit Lions,Jared Goff,26/36,246,6.8,2,1,1-10,61.8,97.7
Green Bay Packers,Aaron Rodgers,22/27,255,9.4,4,0,3-28,78.8,145.6
