team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Kansas City Chiefs,Patrick Mahomes,27/44,270,6.1,2,0,1-15,75.1,93.9
Denver Broncos,Drew Lock,12/24,162,6.8,0,0,1-5,72.0,71.9
Denver Broncos,Courtland Sutton,1/1,16,16.0,0,0,0-0,100.0,118.8
Dallas Cowboys,Dak Prescott,21/27,295,10.9,5,0,1-1,98.9,151.8
Dallas Cowboys,Cooper Rush,1/1,10,10.0,0,0,0-0,32.2,108.3
Philadelphia Eagles,Gardner Minshew,19/33,186,5.6,2,1,3-22,51.1,81.1
Philadelphia Eagles,Greg Ward,1/1,2,2.0,0,0,0-0,100.0,79.2
Cincinnati Bengals,Brandon Allen,15/29,136,4.7,1,0,4-33,9.5,76.2
Cleveland Browns,Case Keenum,17/24,176,7.3,2,1,1-5,48.3,102.1
Green Bay Packers,Aaron Rodgers,14/18,138,7.7,2,0,3-8,85.3,135.6
Green Bay Packers,Jordan Love,10/17,134,7.9,1,2,1-8,38.1,64.0
Detroit Lions,Jared Goff,21/30,238,7.9,2,0,1-8,83.6,115.7
Detroit Lions,Tom Kennedy,1/1,75,75.0,1,0,0-0,100.0,158.3
Detroit Lions,Jack Fox,0/1,0,0.0,0,0,0-0,--,39.6
Chicago Bears,Andy Dalton,33/48,325,6.8,1,2,7-59,28.4,77.2
Minnesota Vikings,Kirk Cousins,14/22,250,11.4,3,0,3-23,84.9,142.0
Washington,Taylor Heinicke,9/18,120,6.7,0,0,3-21,6.3,71.5
New York Giants,Jake Fromm,15/31,103,3.3,1,2,3-20,39.3,40.1
Indianapolis Colts,Carson Wentz,17/29,185,6.4,1,1,6-46,5.5,74.6
Jacksonville Jaguars,Trevor Lawrence,23/32,223,7.0,2,0,1-6,69.1,111.8
Pittsburgh Steelers,Ben Roethlisberger,30/44,244,5.5,1,1,1-9,39.1,80.1
Baltimore Ravens,Tyler Huntley,16/31,141,4.5,0,2,3-9,20.2,37.2
Baltimore Ravens,Sam Koch,0/1,0,0.0,0,0,0-0,--,39.6
Tennessee Titans,Ryan Tannehill,23/32,287,9.0,4,0,1-6,93.9,138.9
Houston Texans,Davis Mills,23/33,301,9.1,3,0,2-12,75.2,128.5
New Orleans Saints,Taysom Hill,7/9,107,11.9,1,0,0-0,86.8,153.2
New Orleans Saints,Trevor Siemian,9/15,71,4.7,2,0,1-4,58.7,111.4
Atlanta Falcons,Matt Ryan,20/33,216,6.5,1,1,3-21,26.2,77.3
New York Jets,Zach Wilson,7/20,87,4.4,1,0,8-79,23.8,66.0
New York Jets,Jamison Crowder,0/0,0,0.0,0,0,1-3,0.3,0.0
Buffalo Bills,Josh Allen,24/45,239,5.3,2,0,0-0,60.3,83.5
Buffalo Bills,Mitch Trubisky,1/1,15,15.0,0,0,0-0,96.7,118.8
San Francisco 49ers,Jimmy Garoppolo,23/32,316,9.9,1,2,3-26,55.1,87.5
San Francisco 49ers,Deebo Samuel,1/1,24,24.0,1,0,0-0,100.0,158.3
Los Angeles Rams,Matthew Stafford,21/32,238,7.4,3,2,5-37,72.6,93.0
New England Patriots,Mac Jones,20/30,261,8.7,1,1,2-16,15.6,91.1
Miami Dolphins,Tua Tagovailoa,15/22,109,5.0,1,0,1-6,71.6,94.7
Seattle Seahawks,Russell Wilson,15/26,238,9.2,3,1,1-9,89.4,110.7
Arizona Cardinals,Kyler Murray,28/39,240,6.2,1,0,5-53,44.5,96.1
Carolina Panthers,Sam Darnold,29/42,219,5.2,2,1,2-12,35.7,87.3
Carolina Panthers,Brandon Zylstra,0/1,0,0.0,0,0,0-0,0.5,39.6
Tampa Bay Buccaneers,Tom Brady,29/37,326,8.8,3,0,1-2,92.2,130.4
Tampa Bay Buccaneers,Blaine Gabbert,0/2,0,0.0,0,0,0-0,0.4,39.6
Los Angeles Chargers,Justin Herbert,34/64,383,6.0,3,1,3-28,67.7,80.4
Las Vegas Raiders,Derek Carr,20/36,186,5.2,2,0,3-18,32.2,88.4
Las Vegas Raiders,Marcus Mariota,1/1,4,4.0,0,0,0-0,35.2,83.3
