team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Kansas City Chiefs,Harrison Butker,2/2,100.0,51,2/2,8
Denver Broncos,Brandon McManus,1/1,100.0,31,3/3,6
Dallas Cowboys,Greg Zuerlein,1/1,100.0,48,6/7,9
Philadelphia Eagles,Jake Elliott,2/2,100.0,40,2/2,8
Cincinnati Bengals,Elliott Fry,1/1,100.0,36,1/1,4
Cleveland Browns,Chase McLaughlin,0/0,0.0,0,3/3,3
Green Bay Packers,Mason Crosby,1/1,100.0,36,1/2,4
Detroit Lions,Riley Patterson,3/3,100.0,36,4/4,13
Chicago Bears,Cairo Santos,3/3,100.0,46,0/0,9
Minnesota Vikings,Greg Joseph,1/1,100.0,39,4/4,7
Washington,Joey Slye,3/3,100.0,43,1/1,10
New York Giants,Graham Gano,0/0,0.0,0,1/1,1
Indianapolis Colts,Michael Badgley,1/1,100.0,41,0/0,3
Jacksonville Jaguars,Matthew Wright,4/4,100.0,39,2/2,14
Pittsburgh Steelers,Chris Boswell,3/3,100.0,40,1/1,10
Baltimore Ravens,Justin Tucker,2/2,100.0,46,1/1,7
Tennessee Titans,Randy Bullock,0/1,0.0,0,4/4,4
Houston Texans,Ka'imi Fairbairn,1/1,100.0,31,2/2,5
New Orleans Saints,Brett Maher,3/4,75.0,37,3/3,12
Atlanta Falcons,Younghoe Koo,2/2,100.0,54,2/2,8
New York Jets,Eddy Pineiro,1/1,100.0,49,1/1,4
Buffalo Bills,Tyler Bass,2/2,100.0,41,3/3,9
San Francisco 49ers,Robbie Gould,2/2,100.0,42,3/3,9
Los Angeles Rams,Matt Gay,1/1,100.0,43,3/3,6
New England Patriots,Nick Folk,1/1,100.0,43,3/3,6
Miami Dolphins,Jason Sanders,2/2,100.0,49,3/3,9
Seattle Seahawks,Jason Myers,1/1,100.0,38,5/5,8
Arizona Cardinals,Matt Prater,3/3,100.0,41,3/3,12
Carolina Panthers,Lirim Hajrullahu,1/1,100.0,35,2/2,5
Tampa Bay Buccaneers,Ryan Succop,2/3,67.0,40,5/5,11
Los Angeles Chargers,Dustin Hopkins,1/2,50.0,41,3/3,6
Las Vegas Raiders,Daniel Carlson,5/5,100.0,52,2/2,17
