team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Kansas City Chiefs,Mecole Hardman,8,103,12.9,0,44,11
Kansas City Chiefs,Byron Pringle,5,56,11.2,0,19,8
Kansas City Chiefs,Travis Kelce,4,34,8.5,1,12,5
Kansas City Chiefs,Darrel Williams,3,30,10.0,0,17,4
Kansas City Chiefs,Jerick McKinnon,3,26,8.7,1,14,3
Kansas City Chiefs,Demarcus Robinson,3,19,6.3,0,11,6
Kansas City Chiefs,Tyreek Hill,1,2,2.0,0,2,3
Kansas City Chiefs,Josh Gordon,0,0,0.0,0,0,1
Kansas City Chiefs,Derrick Gore,0,0,0.0,0,0,1
Denver Broncos,Tim Patrick,6,95,15.8,0,31,10
Denver Broncos,Jerry Jeudy,2,30,15.0,0,28,5
Denver Broncos,Javonte Williams,2,18,9.0,0,11,2
Denver Broncos,Noah Fant,1,16,16.0,0,16,2
Denver Broncos,Courtland Sutton,1,13,13.0,0,13,3
Denver Broncos,Melvin Gordon III,1,6,6.0,0,6,2
Dallas Cowboys,Cedrick Wilson Jr.,5,119,23.8,2,37,6
Dallas Cowboys,Amari Cooper,5,79,15.8,0,27,7
Dallas Cowboys,CeeDee Lamb,2,45,22.5,0,31,2
Dallas Cowboys,Corey Clement,4,22,5.5,1,8,4
Dallas Cowboys,Dalton Schultz,3,21,7.0,2,10,3
Dallas Cowboys,Jeremy Sprinkle,1,10,10.0,0,10,1
Dallas Cowboys,Blake Jarwin,1,6,6.0,0,6,2
Dallas Cowboys,Ezekiel Elliott,1,3,3.0,0,3,3
Philadelphia Eagles,Quez Watkins,5,84,16.8,1,36,7
Philadelphia Eagles,DeVonta Smith,3,41,13.7,0,25,4
Philadelphia Eagles,Tyree Jackson,3,22,7.3,1,13,5
Philadelphia Eagles,Jalen Reagor,2,19,9.5,0,12,3
Philadelphia Eagles,Richard Rodgers,2,11,5.5,0,9,2
Philadelphia Eagles,Kenneth Gainwell,4,9,2.3,0,9,7
Philadelphia Eagles,Greg Ward,1,2,2.0,0,2,2
Philadelphia Eagles,J.J. Arcega-Whiteside,0,0,0.0,0,0,3
Philadelphia Eagles,Jason Huntley,0,0,0.0,0,0,1
Cincinnati Bengals,Trent Taylor,2,41,20.5,0,26,3
Cincinnati Bengals,Ja'Marr Chase,2,26,13.0,0,24,4
Cincinnati Bengals,Chris Evans,4,24,6.0,1,12,5
Cincinnati Bengals,Mitchell Wilcox,3,16,5.3,0,8,5
Cincinnati Bengals,Trenton Irwin,1,9,9.0,0,9,4
Cincinnati Bengals,Drew Sample,1,8,8.0,0,8,1
Cincinnati Bengals,Stanley Morgan,1,8,8.0,0,8,2
Cincinnati Bengals,Trayveon Williams,1,4,4.0,0,4,2
Cincinnati Bengals,Mike Thomas,0,0,0.0,0,0,3
Cleveland Browns,Jarvis Landry,6,75,12.5,1,26,8
Cleveland Browns,Donovan Peoples-Jones,3,38,12.7,0,22,4
Cleveland Browns,Demetric Felton Jr.,2,18,9.0,1,10,2
Cleveland Browns,Anthony Schwartz,1,13,13.0,0,13,3
Cleveland Browns,David Njoku,2,11,5.5,0,6,2
Cleveland Browns,D'Ernest Johnson,1,10,10.0,0,10,1
Cleveland Browns,Harrison Bryant,1,9,9.0,0,9,3
Cleveland Browns,Nick Chubb,1,2,2.0,0,2,1
Green Bay Packers,Allen Lazard,5,75,15.0,2,29,6
Green Bay Packers,Josiah Deguara,3,66,22.0,1,62,4
Green Bay Packers,Davante Adams,6,55,9.2,0,16,7
Green Bay Packers,Dominique Dafney,1,26,26.0,0,26,1
Green Bay Packers,Equanimeous St. Brown,2,22,11.0,0,18,5
Green Bay Packers,Juwann Winfree,3,16,5.3,0,12,3
Green Bay Packers,Amari Rodgers,1,5,5.0,0,5,3
Green Bay Packers,AJ Dillon,1,4,4.0,0,4,1
Green Bay Packers,Patrick Taylor,2,3,1.5,0,3,2
Green Bay Packers,Marcedes Lewis,0,0,0.0,0,0,1
Green Bay Packers,Marquez Valdes-Scantling,0,0,0.0,0,0,1
Green Bay Packers,Tyler Davis,0,0,0.0,0,0,1
Detroit Lions,Amon-Ra St. Brown,8,109,13.6,1,28,10
Detroit Lions,Kalif Raymond,4,101,25.3,1,75,5
Detroit Lions,Brock Wright,2,51,25.5,1,36,2
Detroit Lions,Tom Kennedy,2,16,8.0,0,11,2
Detroit Lions,D'Andre Swift,4,16,4.0,0,6,5
Detroit Lions,Josh Reynolds,1,11,11.0,0,11,3
Detroit Lions,Jamaal Williams,1,9,9.0,0,9,1
Detroit Lions,Godwin Igwebuike,0,0,0.0,0,0,1
Chicago Bears,Darnell Mooney,12,126,10.5,0,19,16
Chicago Bears,Cole Kmet,4,48,12.0,0,20,5
Chicago Bears,Damiere Byrd,5,47,9.4,0,14,6
Chicago Bears,Damien Williams,3,33,11.0,1,23,5
Chicago Bears,Allen Robinson II,2,22,11.0,0,16,4
Chicago Bears,Jimmy Graham,2,16,8.0,0,10,2
Chicago Bears,Dazz Newsome,1,13,13.0,0,13,2
Chicago Bears,Marquise Goodwin,2,13,6.5,0,8,3
Chicago Bears,David Montgomery,2,7,3.5,0,4,3
Minnesota Vikings,Justin Jefferson,5,107,21.4,1,45,7
Minnesota Vikings,Ihmir Smith-Marsette,3,103,34.3,1,44,3
Minnesota Vikings,K.J. Osborn,1,21,21.0,1,21,4
Minnesota Vikings,C.J. Ham,1,7,7.0,0,7,1
Minnesota Vikings,Tyler Conklin,2,6,3.0,0,9,4
Minnesota Vikings,Dalvin Cook,1,3,3.0,0,3,1
Minnesota Vikings,Alexander Mattison,1,3,3.0,0,3,1
Washington,Terry McLaurin,4,93,23.3,0,40,6
Washington,Jaret Patterson,2,14,7.0,0,8,2
Washington,John Bates,1,5,5.0,0,5,2
Washington,Antonio Gibson,1,5,5.0,0,5,3
Washington,Adam Humphries,1,3,3.0,0,3,2
Washington,DeAndre Carter,0,0,0.0,0,0,1
Washington,Cam Sims,0,0,0.0,0,0,1
New York Giants,Darius Slayton,2,29,14.5,1,22,3
New York Giants,Kenny Golladay,3,22,7.3,0,9,5
New York Giants,Saquon Barkley,3,19,6.3,0,11,4
New York Giants,Kyle Rudolph,4,17,4.3,0,9,6
New York Giants,Devontae Booker,2,12,6.0,0,6,2
New York Giants,Evan Engram,1,4,4.0,0,4,5
New York Giants,Elijhaa Penny,0,0,0.0,0,0,2
New York Giants,David Sills V,0,0,0.0,0,0,3
Indianapolis Colts,Michael Pittman Jr.,6,64,10.7,1,21,7
Indianapolis Colts,T.Y. Hilton,2,39,19.5,0,33,5
Indianapolis Colts,Mo Alie-Cox,2,27,13.5,0,18,3
Indianapolis Colts,Nyheim Hines,2,19,9.5,0,10,3
Indianapolis Colts,Jonathan Taylor,3,18,6.0,0,11,4
Indianapolis Colts,Jack Doyle,1,11,11.0,0,11,2
Indianapolis Colts,Zach Pascal,1,7,7.0,0,7,2
Indianapolis Colts,Parris Campbell,0,0,0.0,0,0,3
Jacksonville Jaguars,Marvin Jones Jr.,7,88,12.6,1,29,8
Jacksonville Jaguars,Laviska Shenault Jr.,5,62,12.4,0,18,7
Jacksonville Jaguars,Dare Ogunbowale,3,25,8.3,0,11,6
Jacksonville Jaguars,Laquon Treadwell,3,24,8.0,1,14,5
Jacksonville Jaguars,Jacob Hollister,3,14,4.7,0,7,3
Jacksonville Jaguars,Ryquell Armstead,2,10,5.0,0,9,2
Jacksonville Jaguars,Mekhi Sargent,0,0,0.0,0,0,1
Pittsburgh Steelers,Pat Freiermuth,6,53,8.8,0,14,9
Pittsburgh Steelers,Diontae Johnson,7,51,7.3,0,16,10
Pittsburgh Steelers,Zach Gentry,4,39,9.8,0,25,5
Pittsburgh Steelers,Chase Claypool,5,37,7.4,1,10,7
Pittsburgh Steelers,Ray-Ray McCloud III,4,37,9.3,0,20,9
Pittsburgh Steelers,Najee Harris,4,27,6.8,0,11,4
Baltimore Ravens,Mark Andrews,8,85,10.6,0,28,15
Baltimore Ravens,Marquise Brown,3,27,9.0,0,11,8
Baltimore Ravens,Rashod Bateman,2,22,11.0,0,19,4
Baltimore Ravens,Devonta Freeman,2,6,3.0,0,5,2
Baltimore Ravens,Josh Oliver,1,1,1.0,0,1,1
Baltimore Ravens,Sammy Watkins,0,0,0.0,0,0,1
Baltimore Ravens,Tylan Wallace,0,0,0.0,0,0,1
Tennessee Titans,Nick Westbrook-Ikhine,4,78,19.5,1,36,5
Tennessee Titans,A.J. Brown,4,68,17.0,1,24,6
Tennessee Titans,Julio Jones,5,58,11.6,1,19,9
Tennessee Titans,Anthony Firkser,4,56,14.0,1,24,4
Tennessee Titans,D'Onta Foreman,1,15,15.0,0,15,2
Tennessee Titans,Khari Blasingame,1,5,5.0,0,5,1
Tennessee Titans,Chester Rogers,2,4,2.0,0,4,2
Tennessee Titans,Geoff Swaim,1,2,2.0,0,2,1
Tennessee Titans,Dontrell Hilliard,1,1,1.0,0,1,1
Tennessee Titans,Racey McMath,0,0,0.0,0,0,1
Houston Texans,Danny Amendola,7,113,16.1,2,37,9
Houston Texans,Nico Collins,3,67,22.3,0,30,7
Houston Texans,Rex Burkhead,3,42,14.0,0,20,4
Houston Texans,Chris Moore,3,38,12.7,1,28,3
Houston Texans,Brandin Cooks,3,26,8.7,0,25,4
Houston Texans,David Johnson,3,8,2.7,0,7,4
Houston Texans,Antony Auclair,1,7,7.0,0,7,1
New Orleans Saints,Tre'Quan Smith,5,76,15.2,1,34,7
New Orleans Saints,Lil'Jordan Humphrey,1,26,26.0,0,26,1
New Orleans Saints,Deonte Harty,3,24,8.0,0,10,4
New Orleans Saints,Adam Trautman,1,18,18.0,1,18,1
New Orleans Saints,Alvin Kamara,2,16,8.0,0,13,2
New Orleans Saints,Nick Vannett,1,10,10.0,0,10,1
New Orleans Saints,Juwan Johnson,1,5,5.0,1,5,2
New Orleans Saints,Adam Prentice,1,2,2.0,0,2,1
New Orleans Saints,Ty Montgomery II,1,1,1.0,0,1,2
New Orleans Saints,Marquez Callaway,0,0,0.0,0,0,1
New Orleans Saints,Tony Jones Jr.,0,0,0.0,0,0,1
Atlanta Falcons,Russell Gage,9,126,14.0,1,26,13
Atlanta Falcons,Olamide Zaccheaus,3,47,15.7,0,28,3
Atlanta Falcons,Hayden Hurst,1,33,33.0,0,33,1
Atlanta Falcons,Kyle Pitts,2,8,4.0,0,7,5
Atlanta Falcons,Keith Smith,1,3,3.0,0,3,1
Atlanta Falcons,Cordarrelle Patterson,1,1,1.0,0,1,1
Atlanta Falcons,Tajae Sharpe,0,0,0.0,0,0,2
Atlanta Falcons,Qadree Ollison,0,0,0.0,0,0,1
Atlanta Falcons,Christian Blake,0,0,0.0,0,0,1
Atlanta Falcons,Mike Davis,3,-2,-0.7,0,3,3
New York Jets,Keelan Cole Sr.,3,54,18.0,1,40,3
New York Jets,Jamison Crowder,1,16,16.0,0,16,1
New York Jets,Tarik Black,1,10,10.0,0,10,2
New York Jets,Tyler Kroft,1,5,5.0,0,5,3
New York Jets,Jeff Smith,1,2,2.0,0,2,3
New York Jets,Tevin Coleman,0,0,0.0,0,0,1
New York Jets,Ty Johnson,0,0,0.0,0,0,1
New York Jets,Denzel Mims,0,0,0.0,0,0,2
New York Jets,Michael Carter,0,0,0.0,0,0,3
Buffalo Bills,Stefon Diggs,9,81,9.0,1,17,14
Buffalo Bills,Dawson Knox,3,49,16.3,0,28,5
Buffalo Bills,Gabe Davis,3,39,13.0,0,27,14
Buffalo Bills,Cole Beasley,4,31,7.8,0,13,5
Buffalo Bills,Devin Singletary,2,24,12.0,1,19,2
Buffalo Bills,Jake Kumerow,1,15,15.0,0,15,1
Buffalo Bills,Isaiah McKenzie,1,9,9.0,0,9,1
Buffalo Bills,Zack Moss,2,6,3.0,0,3,2
Buffalo Bills,Reggie Gilliam,0,0,0.0,0,0,1
San Francisco 49ers,Brandon Aiyuk,6,107,17.8,0,31,7
San Francisco 49ers,Deebo Samuel,4,95,23.8,0,43,6
San Francisco 49ers,Jauan Jennings,6,94,15.7,2,34,7
San Francisco 49ers,JaMycal Hasty,2,21,10.5,0,13,3
San Francisco 49ers,Trent Sherfield,1,13,13.0,0,13,1
San Francisco 49ers,George Kittle,5,10,2.0,0,6,7
San Francisco 49ers,Travis Benjamin,0,0,0.0,0,0,1
Los Angeles Rams,Cooper Kupp,7,118,16.9,1,46,7
Los Angeles Rams,Tyler Higbee,6,55,9.2,2,15,8
