team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Carolina Panthers,Zane Gonzalez,1/1,100.0,21,3/3,6
Houston Texans,Joey Slye,1/1,100.0,53,0/1,3
Washington,Dustin Hopkins,0/0,0.0,0,3/3,3
Buffalo Bills,Tyler Bass,3/3,100.0,48,4/4,13
Chicago Bears,Cairo Santos,2/2,100.0,47,0/0,6
Cleveland Browns,Chase McLaughlin,4/4,100.0,57,2/2,14
Baltimore Ravens,Justin Tucker,4/5,80.0,66,1/1,13
Detroit Lions,Ryan Santoso,1/1,100.0,35,2/2,5
Indianapolis Colts,Rodrigo Blankenship,3/4,75.0,43,1/1,10
Tennessee Titans,Randy Bullock,1/1,100.0,32,2/2,5
Los Angeles Chargers,Tristan Vizcaino,1/1,100.0,24,1/3,4
Kansas City Chiefs,Harrison Butker,1/1,100.0,34,3/3,6
New Orleans Saints,Aldrick Rosas,0/2,0.0,0,4/4,4
New England Patriots,Nick Folk,2/2,100.0,45,1/1,7
Atlanta Falcons,Younghoe Koo,1/1,100.0,40,2/2,5
New York Giants,Graham Gano,2/2,100.0,31,0/0,6
Cincinnati Bengals,Evan McPherson,1/1,100.0,43,3/3,6
Pittsburgh Steelers,Chris Boswell,1/2,50.0,26,1/1,4
Arizona Cardinals,Matt Prater,1/2,50.0,34,4/4,7
Jacksonville Jaguars,Josh Lambo,0/0,0.0,0,1/3,1
Denver Broncos,Brandon McManus,4/4,100.0,47,2/2,14
Miami Dolphins,Jason Sanders,2/3,67.0,50,2/2,8
Las Vegas Raiders,Daniel Carlson,3/3,100.0,50,2/3,11
Tampa Bay Buccaneers,Ryan Succop,1/2,50.0,26,3/3,6
Los Angeles Rams,Matt Gay,2/2,100.0,48,4/4,10
Seattle Seahawks,Jason Myers,1/2,50.0,53,2/2,5
Minnesota Vikings,Greg Joseph,3/3,100.0,43,3/3,12
Green Bay Packers,Mason Crosby,3/3,100.0,54,3/3,12
San Francisco 49ers,Robbie Gould,0/0,0.0,0,4/4,4
Philadelphia Eagles,Jake Elliott,0/0,0.0,0,3/3,3
Dallas Cowboys,Greg Zuerlein,0/0,0.0,0,5/6,5
