team,player,fumbles,fumblesLost,fumblesRecovered
Los Angeles Rams,Tutu Atwell,1,0,0
New York Jets,Ryan Griffin,1,0,1
New York Jets,Shaq Lawson,0,0,1
New York Jets,Michael Carter II,0,0,1
Atlanta Falcons,Hayden Hurst,2,1,0
Atlanta Falcons,Mike Davis,1,1,0
Detroit Lions,Jared Goff,1,1,0
Detroit Lions,Jalen Reeves-Maybin,0,0,1
Minnesota Vikings,Alexander Mattison,1,1,0
Minnesota Vikings,James Lynch,0,0,1
Denver Broncos,Alexander Johnson,0,0,1
Pittsburgh Steelers,Ben Roethlisberger,1,1,0
Miami Dolphins,Jacoby Brissett,1,1,0
Tampa Bay Buccaneers,Ndamukong Suh,0,0,1
New Orleans Saints,Jameis Winston,1,1,0
Washington,Daron Payne,0,0,1
Philadelphia Eagles,DeVonta Smith,1,1,0
Philadelphia Eagles,Jalen Hurts,1,0,0
Carolina Panthers,Jeremy Chinn,0,0,1
Tennessee Titans,Kevin Byard,0,0,1
Jacksonville Jaguars,Dan Arnold,1,1,0
New England Patriots,Damien Harris,1,1,0
New England Patriots,Matthew Judon,0,0,1
Houston Texans,Chris Conley,1,1,0
Houston Texans,Jaleel Johnson,0,0,1
Chicago Bears,Justin Fields,1,0,0
Cleveland Browns,Baker Mayfield,1,0,0
Cleveland Browns,David Njoku,0,0,1
Cleveland Browns,Malik McDowell,0,0,1
Los Angeles Chargers,Austin Ekeler,2,1,0
New York Giants,Mike Glennon,1,0,1
New York Giants,Reggie Ragland,0,0,1
Dallas Cowboys,Dak Prescott,1,1,0
Dallas Cowboys,Tony Pollard,1,0,0
Dallas Cowboys,Tyler Biadasz,0,0,1
San Francisco 49ers,Dontae Johnson,0,0,1
Arizona Cardinals,Kyler Murray,2,0,1
Arizona Cardinals,Chase Edmonds,1,1,1
Arizona Cardinals,Andy Lee,1,0,1
Buffalo Bills,Tre'Davious White,0,0,1
Buffalo Bills,Andre Smith,0,0,1
Kansas City Chiefs,Patrick Mahomes,1,1,0
Kansas City Chiefs,Byron Pringle,1,1,0
Indianapolis Colts,Carson Wentz,1,1,0
Indianapolis Colts,Shaquille Leonard,0,0,1
Baltimore Ravens,Lamar Jackson,1,1,0
Baltimore Ravens,Brandon Williams,0,0,1
