team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Los Angeles Rams,Matthew Stafford,25/37,365,9.9,1,1,1-7,72.4,97.2
Seattle Seahawks,Russell Wilson,11/16,152,9.5,1,1,2-21,66.1,93.8
Seattle Seahawks,Geno Smith,10/17,131,7.7,1,1,0-0,66.0,78.3
New York Jets,Zach Wilson,19/32,192,6.0,0,1,2-26,21.7,63.5
Atlanta Falcons,Matt Ryan,33/45,342,7.6,2,0,0-0,86.1,109.7
Atlanta Falcons,Cordarrelle Patterson,0/1,0,0.0,0,0,0-0,3.7,39.6
Green Bay Packers,Aaron Rodgers,27/39,344,8.8,2,1,2-11,74.5,102.9
Cincinnati Bengals,Joe Burrow,26/38,281,7.4,2,2,3-17,59.4,85.5
Detroit Lions,Jared Goff,21/35,203,5.8,0,1,4-23,25.3,64.3
Minnesota Vikings,Kirk Cousins,25/34,275,8.1,1,1,2-11,28.6,94.6
Denver Broncos,Teddy Bridgewater,24/38,288,7.6,2,1,2-20,51.9,92.9
Pittsburgh Steelers,Ben Roethlisberger,15/25,253,10.1,2,0,1-9,74.6,120.9
Miami Dolphins,Jacoby Brissett,27/39,275,7.1,2,1,3-13,71.7,95.6
Tampa Bay Buccaneers,Tom Brady,30/41,411,10.0,5,0,2-15,90.9,144.4
Tampa Bay Buccaneers,Blaine Gabbert,3/3,41,13.7,0,0,0-0,97.0,118.8
New Orleans Saints,Jameis Winston,15/30,279,9.3,4,1,2-8,57.0,108.2
Washington,Taylor Heinicke,20/41,248,6.0,0,2,2-6,28.9,47.6
Philadelphia Eagles,Jalen Hurts,22/37,198,5.4,0,1,2-16,28.5,62.7
Carolina Panthers,Sam Darnold,21/37,177,4.8,1,3,3-19,17.9,44.5
Tennessee Titans,Ryan Tannehill,14/22,197,9.0,1,0,3-13,78.3,107.6
Jacksonville Jaguars,Trevor Lawrence,23/33,273,8.3,1,1,2-17,43.6,92.1
New England Patriots,Mac Jones,23/30,231,7.7,1,1,1-5,70.3,95.3
Houston Texans,Davis Mills,21/29,312,10.8,3,0,3-19,86.6,141.7
Chicago Bears,Justin Fields,12/20,111,5.6,1,0,2-10,27.1,91.9
Chicago Bears,Andy Dalton,1/1,8,8.0,0,0,0-0,100.0,100.0
Las Vegas Raiders,Derek Carr,22/35,206,5.9,0,1,3-18,24.7,67.1
Cleveland Browns,Baker Mayfield,23/32,305,9.5,2,0,1-4,50.2,122.5
Los Angeles Chargers,Justin Herbert,26/43,398,9.3,4,0,2-17,91.9,122.0
New York Giants,Mike Glennon,16/25,196,7.8,1,2,0-0,35.6,68.1
New York Giants,Daniel Jones,5/13,98,7.5,0,0,0-0,66.1,65.5
New York Giants,Kadarius Toney,0/1,0,0.0,0,0,0-0,11.0,39.6
Dallas Cowboys,Dak Prescott,22/32,302,9.4,3,1,2-10,58.3,116.9
Dallas Cowboys,Cedrick Wilson Jr.,1/1,22,22.0,0,0,0-0,99.7,118.8
San Francisco 49ers,Trey Lance,15/29,192,6.6,0,1,2-6,30.8,58.4
Arizona Cardinals,Kyler Murray,22/31,239,7.7,1,0,2-29,35.2,104.1
Buffalo Bills,Josh Allen,15/26,315,12.1,3,0,0-0,94.3,139.1
Kansas City Chiefs,Patrick Mahomes,33/54,272,5.0,2,2,2-0,49.0,70.9
Indianapolis Colts,Carson Wentz,25/35,402,11.5,2,0,2-12,64.3,128.5
Baltimore Ravens,Lamar Jackson,37/43,442,10.3,4,0,2-5,83.9,140.5
