team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Tennessee Titans,Will Levis,22/39,262,6.7,0,1,4-27,32.8,66.4
Pittsburgh Steelers,Kenny Pickett,19/30,160,5.3,1,0,0-0,42.8,88.2
Miami Dolphins,Tua Tagovailoa,21/34,193,5.7,1,0,3-18,52.1,87.0
Kansas City Chiefs,Patrick Mahomes,20/30,185,6.2,2,0,2-11,45.1,105.6
Minnesota Vikings,Joshua Dobbs,20/30,158,5.3,2,0,3-12,86.6,101.8
Minnesota Vikings,Jaren Hall,5/6,78,13.0,0,0,0-0,39.9,118.8
Minnesota Vikings,Cam Akers,0/0,0,0.0,0,0,1-7,0.9,0.0
Atlanta Falcons,Taylor Heinicke,21/38,268,7.1,1,1,1-8,35.9,75.3
Arizona Cardinals,Clayton Tune,11/20,58,2.9,0,2,7-41,1.6,20.8
Cleveland Browns,Deshaun Watson,19/30,219,7.3,2,0,1-6,41.3,107.5
Los Angeles Rams,Brett Rypien,13/28,130,4.6,0,1,1-11,25.7,45.2
Green Bay Packers,Jordan Love,20/26,228,8.8,1,0,4-21,41.6,115.5
Washington Commanders,Sam Howell,29/45,325,7.2,1,1,3-17,65.8,84.0
New England Patriots,Mac Jones,24/44,220,5.0,1,1,0-0,29.7,66.5
Chicago Bears,Tyson Bagent,18/30,220,7.3,2,3,2-8,64.1,65.3
New Orleans Saints,Derek Carr,25/34,211,6.2,2,0,0-0,62.3,108.8
New Orleans Saints,Taysom Hill,1/1,3,3.0,1,0,0-0,34.1,118.8
Seattle Seahawks,Geno Smith,13/28,157,5.6,0,1,4-34,14.1,49.3
Baltimore Ravens,Lamar Jackson,21/26,187,7.2,0,0,1-8,75.3,96.6
Baltimore Ravens,Tyler Huntley,5/7,38,5.4,1,0,0-0,89.9,123.8
Tampa Bay Buccaneers,Baker Mayfield,21/30,265,8.8,2,0,2-14,65.1,119.4
Houston Texans,C.J. Stroud,30/42,470,11.2,5,0,3-27,78.3,147.8
Indianapolis Colts,Gardner Minshew,17/26,127,4.9,1,0,1-7,63.9,89.7
Carolina Panthers,Bryce Young,24/39,173,4.4,1,3,4-36,12.1,48.3
New York Giants,Tommy DeVito,15/20,175,8.8,1,2,6-29,3.7,78.1
New York Giants,Daniel Jones,4/9,25,2.8,0,0,2-17,16.1,51.6
Las Vegas Raiders,Aidan O'Connell,16/25,209,8.4,0,0,0-0,82.0,90.2
Dallas Cowboys,Dak Prescott,29/44,374,8.5,3,0,5-41,72.6,115.2
Philadelphia Eagles,Jalen Hurts,17/23,207,9.0,2,0,3-24,61.6,130.2
Buffalo Bills,Josh Allen,26/38,258,6.8,1,1,1-9,60.3,85.2
Cincinnati Bengals,Joe Burrow,31/44,348,7.9,2,0,1-5,80.7,108.9
Los Angeles Chargers,Justin Herbert,16/30,136,4.5,0,0,5-29,42.5,65.4
New York Jets,Zach Wilson,33/49,263,5.4,0,0,8-57,16.8,80.6
