team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Tennessee Titans,Kyle Philips,4,68,17.0,0,24,5
Tennessee Titans,DeAndre Hopkins,4,60,15.0,0,29,11
Tennessee Titans,Chris Moore,1,29,29.0,0,29,2
Tennessee Titans,Chigoziem Okonkwo,3,28,9.3,0,12,4
Tennessee Titans,Derrick Henry,3,27,9.0,0,23,4
Tennessee Titans,Nick Westbrook-Ikhine,1,23,23.0,0,23,1
Tennessee Titans,Treylon Burks,2,23,11.5,0,21,3
Tennessee Titans,Tyjae Spears,4,4,1.0,0,8,6
Tennessee Titans,Josh Whyle,0,0,0.0,0,0,1
Pittsburgh Steelers,Diontae Johnson,7,90,12.9,1,32,9
Pittsburgh Steelers,Jaylen Warren,3,25,8.3,0,9,3
Pittsburgh Steelers,Connor Heyward,2,16,8.0,0,11,3
Pittsburgh Steelers,Allen Robinson II,1,10,10.0,0,10,2
Pittsburgh Steelers,Darnell Washington,1,7,7.0,0,7,1
Pittsburgh Steelers,Najee Harris,2,7,3.5,0,4,4
Pittsburgh Steelers,Miles Boykin,1,6,6.0,0,6,1
Pittsburgh Steelers,Calvin Austin III,0,0,0.0,0,0,1
Pittsburgh Steelers,George Pickens,2,-1,-0.5,0,2,5
Miami Dolphins,Tyreek Hill,8,62,7.8,0,19,10
Miami Dolphins,Jaylen Waddle,3,42,14.0,0,15,6
Miami Dolphins,Jeff Wilson Jr.,3,32,10.7,0,12,4
Miami Dolphins,Cedrick Wilson Jr.,1,31,31.0,1,31,5
Miami Dolphins,Durham Smythe,3,17,5.7,0,8,3
Miami Dolphins,Salvon Ahmed,2,8,4.0,0,5,3
Miami Dolphins,Alec Ingold,1,1,1.0,0,1,1
Miami Dolphins,Raheem Mostert,0,0,0.0,0,0,1
Kansas City Chiefs,Noah Gray,3,34,11.3,0,25,3
Kansas City Chiefs,Skyy Moore,2,33,16.5,0,23,3
Kansas City Chiefs,Jerick McKinnon,2,22,11.0,1,17,2
Kansas City Chiefs,Marquez Valdes-Scantling,2,22,11.0,0,21,3
Kansas City Chiefs,Kadarius Toney,1,18,18.0,0,18,1
Kansas City Chiefs,Rashee Rice,2,17,8.5,1,11,2
Kansas City Chiefs,Justin Watson,2,15,7.5,0,8,5
Kansas City Chiefs,Travis Kelce,3,14,4.7,0,7,4
Kansas City Chiefs,Mecole Hardman Jr.,3,10,3.3,0,10,3
Kansas City Chiefs,La'Mical Perine,0,0,0.0,0,0,1
Kansas City Chiefs,Isiah Pacheco,0,0,0.0,0,0,1
Minnesota Vikings,T.J. Hockenson,7,69,9.9,0,29,12
Minnesota Vikings,Jordan Addison,5,52,10.4,0,24,7
Minnesota Vikings,Alexander Mattison,2,49,24.5,1,47,2
Minnesota Vikings,Johnny Mundt,1,18,18.0,0,18,1
Minnesota Vikings,K.J. Osborn,2,17,8.5,0,13,2
Minnesota Vikings,Brandon Powell,2,15,7.5,1,9,3
Minnesota Vikings,Cam Akers,3,13,4.3,0,11,3
Minnesota Vikings,Trishton Jackson,1,2,2.0,0,2,3
Minnesota Vikings,Josh Oliver,2,1,0.5,0,2,2
Atlanta Falcons,Jonnu Smith,5,100,20.0,1,60,6
Atlanta Falcons,KhaDarel Hodge,3,60,20.0,0,31,6
Atlanta Falcons,Kyle Pitts,4,56,14.0,0,27,5
Atlanta Falcons,Mack Hollins,3,36,12.0,0,18,3
Atlanta Falcons,Van Jefferson,1,14,14.0,0,14,4
Atlanta Falcons,Bijan Robinson,2,8,4.0,0,7,4
Atlanta Falcons,Cordarrelle Patterson,1,3,3.0,0,3,1
Atlanta Falcons,Damiere Byrd,0,0,0.0,0,0,2
Atlanta Falcons,Tyler Allgeier,2,-9,-4.5,0,-1,3
Arizona Cardinals,Marquise Brown,4,24,6.0,0,14,8
Arizona Cardinals,Trey McBride,3,22,7.3,0,12,5
Arizona Cardinals,Rondale Moore,1,5,5.0,0,5,2
Arizona Cardinals,Tony Jones Jr.,2,5,2.5,0,4,3
Arizona Cardinals,Greg Dortch,1,2,2.0,0,2,1
Arizona Cardinals,Zach Pascal,0,0,0.0,0,0,1
Cleveland Browns,Amari Cooper,5,139,27.8,1,59,5
Cleveland Browns,Jerome Ford,5,33,6.6,0,17,7
Cleveland Browns,David Njoku,4,26,6.5,1,15,6
Cleveland Browns,Elijah Moore,2,14,7.0,0,11,2
