team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New England Patriots,Chad Ryland,0/0,0.0,0,3/3,3
Pittsburgh Steelers,Chris Boswell,1/1,100.0,56,1/1,4
Tampa Bay Buccaneers,Chase McLaughlin,2/2,100.0,55,3/3,9
Atlanta Falcons,Younghoe Koo,1/3,33.0,20,2/2,5
Detroit Lions,Riley Patterson,0/0,0.0,0,1/2,1
Chicago Bears,Cairo Santos,3/3,100.0,46,1/2,10
Indianapolis Colts,Matt Gay,0/1,0.0,0,0/1,0
Cincinnati Bengals,Evan McPherson,2/2,100.0,35,4/4,10
Jacksonville Jaguars,Brandon McManus,0/0,0.0,0,3/3,3
Cleveland Browns,Dustin Hopkins,1/1,100.0,55,4/4,7
Carolina Panthers,Eddy Pineiro,2/3,67.0,47,0/0,6
New Orleans Saints,Blake Grupe,0/1,0.0,0,4/4,4
Houston Texans,Matt Ammendola,0/0,0.0,0,0/1,0
New York Jets,Greg Zuerlein,3/3,100.0,55,3/3,12
Los Angeles Rams,Lucas Havrisik,3/3,100.0,51,2/2,11
Baltimore Ravens,Justin Tucker,3/3,100.0,47,2/2,11
Minnesota Vikings,Greg Joseph,1/2,50.0,36,0/0,3
Seattle Seahawks,Jason Myers,1/1,100.0,40,1/1,4
San Francisco 49ers,Jake Moody,0/0,0.0,0,4/4,4
Buffalo Bills,Tyler Bass,2/2,100.0,39,2/2,8
Kansas City Chiefs,Harrison Butker,1/1,100.0,27,2/2,5
Denver Broncos,Wil Lutz,1/1,100.0,23,3/3,6
Los Angeles Chargers,Cameron Dicker,0/0,0.0,0,1/1,1
Philadelphia Eagles,Jake Elliott,2/2,100.0,52,1/1,7
Dallas Cowboys,Brandon Aubrey,4/4,100.0,60,3/3,15
Tennessee Titans,Nick Folk,2/2,100.0,28,2/2,8
Miami Dolphins,Jason Sanders,2/3,67.0,31,3/3,9
Green Bay Packers,Anders Carlson,3/4,75.0,48,1/1,10
New York Giants,Randy Bullock,1/2,50.0,37,3/3,6
