team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New England Patriots,Bailey Zappe,19/28,240,8.6,3,1,2-18,50.7,115.2
Pittsburgh Steelers,Mitch Trubisky,22/35,190,5.4,1,1,2-8,49.9,74.7
Pittsburgh Steelers,Connor Heyward,0/1,0,0.0,0,0,0-0,7.1,39.6
Tampa Bay Buccaneers,Baker Mayfield,14/29,144,5.0,2,0,1-2,51.0,86.0
Atlanta Falcons,Desmond Ridder,26/40,347,8.7,1,1,3-9,55.4,90.3
Detroit Lions,Jared Goff,20/35,161,4.6,1,2,4-34,28.9,54.6
Chicago Bears,Justin Fields,19/33,223,6.8,1,0,3-29,62.7,88.3
Indianapolis Colts,Gardner Minshew,26/39,240,6.2,1,1,3-14,60.6,81.1
Cincinnati Bengals,Jake Browning,18/24,275,11.5,2,1,0-0,69.9,122.7
Cincinnati Bengals,AJ McCarron,1/1,-1,-1.0,0,0,0-0,0.2,79.2
Jacksonville Jaguars,Trevor Lawrence,28/50,257,5.1,3,3,4-22,51.5,65.2
Cleveland Browns,Joe Flacco,26/45,311,6.9,3,1,1-4,35.1,92.0
Carolina Panthers,Bryce Young,13/36,137,3.8,0,0,4-38,13.2,48.0
New Orleans Saints,Derek Carr,18/26,119,4.6,2,1,1-9,31.4,88.5
Houston Texans,C.J. Stroud,10/23,91,4.0,0,0,4-38,8.2,54.8
Houston Texans,Davis Mills,1/5,4,0.8,0,0,1-3,0.8,39.6
New York Jets,Zach Wilson,27/36,301,8.4,2,0,4-33,44.9,117.9
Los Angeles Rams,Matthew Stafford,23/41,294,7.2,3,0,2-12,72.3,103.1
Baltimore Ravens,Lamar Jackson,24/43,316,7.3,3,1,2-6,70.5,92.8
Minnesota Vikings,Nick Mullens,9/13,83,6.4,0,0,0-0,58.9,86.4
Minnesota Vikings,Joshua Dobbs,10/23,63,2.7,0,0,5-47,19.7,50.8
Las Vegas Raiders,Aidan O'Connell,21/32,171,5.3,0,1,4-25,15.2,66.0
Seattle Seahawks,Drew Lock,22/31,269,8.7,2,2,4-15,38.0,92.0
San Francisco 49ers,Brock Purdy,19/27,368,13.6,2,1,3-14,65.4,122.1
Buffalo Bills,Josh Allen,23/42,233,5.5,1,1,3-24,47.7,68.8
Kansas City Chiefs,Patrick Mahomes,25/43,271,6.3,1,1,1-7,28.3,74.9
Denver Broncos,Russell Wilson,21/33,224,6.8,2,1,2-8,37.0,91.0
Los Angeles Chargers,Easton Stick,13/24,179,7.5,0,0,2-31,36.1,78.3
Los Angeles Chargers,Justin Herbert,9/17,96,5.6,0,1,4-37,1.4,45.2
Los Angeles Chargers,Keenan Allen,0/1,0,0.0,0,0,0-0,4.7,39.6
Philadelphia Eagles,Jalen Hurts,18/27,197,7.3,0,0,1-7,38.5,88.0
Philadelphia Eagles,Braden Mann,1/1,28,28.0,0,0,0-0,--,118.8
Dallas Cowboys,Dak Prescott,24/39,271,6.9,2,0,3-15,67.8,99.4
Tennessee Titans,Will Levis,23/38,327,8.6,1,1,1-7,44.1,86.2
Miami Dolphins,Tua Tagovailoa,23/33,240,7.3,0,0,5-32,30.0,90.5
Green Bay Packers,Jordan Love,25/39,218,5.6,1,1,2-15,55.1,76.7
New York Giants,Tommy DeVito,17/21,158,7.5,1,0,0-0,81.8,113.9
