team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
New England Patriots,JuJu Smith-Schuster,4,90,22.5,0,37,6
New England Patriots,Ezekiel Elliott,7,72,10.3,1,16,8
New England Patriots,Hunter Henry,3,40,13.3,2,24,3
New England Patriots,Ty Montgomery II,1,17,17.0,0,17,2
New England Patriots,Tyquan Thornton,3,17,5.7,0,11,5
New England Patriots,Pharaoh Brown,1,4,4.0,0,4,1
New England Patriots,Jalen Reagor,0,0,0.0,0,0,1
Pittsburgh Steelers,Diontae Johnson,3,57,19.0,1,25,7
Pittsburgh Steelers,Jaylen Warren,4,29,7.3,0,12,5
Pittsburgh Steelers,Allen Robinson II,1,21,21.0,0,21,3
Pittsburgh Steelers,Najee Harris,3,19,6.3,0,14,3
Pittsburgh Steelers,George Pickens,5,19,3.8,0,7,6
Pittsburgh Steelers,Pat Freiermuth,3,18,6.0,0,7,7
Pittsburgh Steelers,Connor Heyward,2,15,7.5,0,10,2
Pittsburgh Steelers,Darnell Washington,1,12,12.0,0,12,2
Tampa Bay Buccaneers,Chris Godwin,5,53,10.6,0,32,11
Tampa Bay Buccaneers,Rachaad White,2,33,16.5,1,31,2
Tampa Bay Buccaneers,Chase Edmonds,2,18,9.0,0,10,2
Tampa Bay Buccaneers,Cade Otton,2,16,8.0,1,11,5
Tampa Bay Buccaneers,David Moore,1,11,11.0,0,11,1
Tampa Bay Buccaneers,Mike Evans,1,8,8.0,0,8,6
Tampa Bay Buccaneers,Trey Palmer,1,5,5.0,0,5,1
Tampa Bay Buccaneers,Ko Kieft,0,0,0.0,0,0,1
Atlanta Falcons,Drake London,10,172,17.2,0,45,11
Atlanta Falcons,Kyle Pitts,3,57,19.0,1,36,6
Atlanta Falcons,Bijan Robinson,5,54,10.8,0,33,7
Atlanta Falcons,Jonnu Smith,4,27,6.8,0,9,7
Atlanta Falcons,KhaDarel Hodge,1,18,18.0,0,18,2
Atlanta Falcons,MyCole Pruitt,2,15,7.5,0,11,2
Atlanta Falcons,Mack Hollins,1,4,4.0,0,4,1
Atlanta Falcons,Scott Miller,0,0,0.0,0,0,3
Detroit Lions,Josh Reynolds,3,44,14.7,1,27,4
Detroit Lions,Sam LaPorta,2,23,11.5,0,13,6
Detroit Lions,Amon-Ra St. Brown,3,21,7.0,0,11,8
Detroit Lions,David Montgomery,3,19,6.3,0,10,3
Detroit Lions,Donovan Peoples-Jones,1,17,17.0,0,17,1
Detroit Lions,Jahmyr Gibbs,3,16,5.3,0,12,4
Detroit Lions,Kalif Raymond,3,15,5.0,0,5,4
Detroit Lions,Brock Wright,2,6,3.0,0,4,2
Detroit Lions,Jameson Williams,0,0,0.0,0,0,2
Chicago Bears,DJ Moore,6,68,11.3,1,38,10
Chicago Bears,Cole Kmet,5,66,13.2,0,41,6
Chicago Bears,Darnell Mooney,2,44,22.0,0,28,7
Chicago Bears,D'Onta Foreman,2,22,11.0,0,16,3
Chicago Bears,Velus Jones Jr.,1,11,11.0,0,11,1
Chicago Bears,Tyler Scott,1,11,11.0,0,11,1
Chicago Bears,Marcedes Lewis,1,4,4.0,0,4,1
Chicago Bears,Khari Blasingame,1,-3,-3.0,0,-3,1
