team,player,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing
San Francisco 49ers,Christian McCaffrey,26,108,4.2,1,23
San Francisco 49ers,Jordan Mason,4,64,16.0,0,55
San Francisco 49ers,Brock Purdy,4,-2,-0.5,0,1
Seattle Seahawks,Kenneth Walker III,12,47,3.9,0,15
Seattle Seahawks,Geno Smith,1,18,18.0,0,18
Seattle Seahawks,Travis Homer,1,5,5.0,0,5
Indianapolis Colts,Zack Moss,24,81,3.4,0,11
Indianapolis Colts,Deon Jackson,13,55,4.2,0,16
Indianapolis Colts,Michael Pittman Jr.,2,30,15.0,0,19
Indianapolis Colts,Ashton Dulin,1,5,5.0,0,5
Indianapolis Colts,Matt Ryan,3,0,0.0,0,1
Minnesota Vikings,Dalvin Cook,17,95,5.6,0,40
Minnesota Vikings,C.J. Ham,2,1,0.5,1,1
Minnesota Vikings,Alexander Mattison,2,1,0.5,0,1
Minnesota Vikings,Kirk Cousins,2,0,0.0,0,1
Minnesota Vikings,Jalen Reagor,1,-5,-5.0,0,-5
Baltimore Ravens,J.K. Dobbins,13,125,9.6,0,37
Baltimore Ravens,Gus Edwards,7,55,7.9,0,25
Baltimore Ravens,Tyler Huntley,6,15,2.5,0,9
Baltimore Ravens,Justice Hill,1,3,3.0,0,3
Baltimore Ravens,Patrick Ricard,1,0,0.0,0,0
Cleveland Browns,Nick Chubb,21,99,4.7,0,18
Cleveland Browns,Kareem Hunt,4,24,6.0,0,9
Cleveland Browns,Deshaun Watson,6,22,3.7,0,17
Cleveland Browns,Jacoby Brissett,1,3,3.0,0,3
Cleveland Browns,Michael Woods II,1,-5,-5.0,0,-5
Miami Dolphins,Raheem Mostert,17,136,8.0,0,67
Miami Dolphins,Salvon Ahmed,6,43,7.2,1,11
Miami Dolphins,Tua Tagovailoa,1,7,7.0,0,7
Miami Dolphins,Alec Ingold,1,2,2.0,0,2
Buffalo Bills,Josh Allen,10,77,7.7,0,44
Buffalo Bills,Devin Singletary,13,42,3.2,0,8
Buffalo Bills,James Cook,5,34,6.8,0,16
Buffalo Bills,Stefon Diggs,1,-3,-3.0,0,-3
Philadelphia Eagles,Jalen Hurts,17,61,3.6,3,22
Philadelphia Eagles,Miles Sanders,11,42,3.8,0,18
Philadelphia Eagles,Kenneth Gainwell,3,5,1.7,0,3
Philadelphia Eagles,Quez Watkins,2,4,2.0,0,4
Chicago Bears,Justin Fields,15,95,6.3,0,39
Chicago Bears,David Montgomery,12,53,4.4,1,9
Chicago Bears,Darrynton Evans,2,9,4.5,0,6
Chicago Bears,Velus Jones Jr.,1,0,0.0,0,0
Atlanta Falcons,Tyler Allgeier,17,139,8.2,1,43
Atlanta Falcons,Cordarrelle Patterson,14,52,3.7,1,11
Atlanta Falcons,Desmond Ridder,6,38,6.3,0,18
Atlanta Falcons,Caleb Huntley,1,2,2.0,0,2
Atlanta Falcons,Feleipe Franks,1,0,0.0,0,0
New Orleans Saints,Alvin Kamara,21,91,4.3,0,13
New Orleans Saints,Taysom Hill,7,30,4.3,0,13
New Orleans Saints,David Johnson,4,12,3.0,0,5
New Orleans Saints,Andy Dalton,2,1,0.5,0,2
Detroit Lions,D'Andre Swift,8,52,6.5,0,16
Detroit Lions,Jamaal Williams,13,33,2.5,0,10
Detroit Lions,Justin Jackson,6,16,2.7,0,4
Detroit Lions,Amon-Ra St. Brown,1,6,6.0,0,6
New York Jets,Zonovan Knight,13,23,1.8,0,5
New York Jets,Michael Carter,4,15,3.8,0,6
New York Jets,Zach Wilson,3,7,2.3,0,4
New York Jets,Elijah Moore,1,3,3.0,0,3
New York Jets,Tyler Conklin,1,2,2.0,0,2
Pittsburgh Steelers,Najee Harris,24,86,3.6,1,10
Pittsburgh Steelers,Jaylen Warren,11,38,3.5,1,9
Pittsburgh Steelers,Steven Sims,2,19,9.5,0,22
Pittsburgh Steelers,Mitch Trubisky,6,9,1.5,1,4
Pittsburgh Steelers,Derek Watt,1,2,2.0,0,2
Pittsburgh Steelers,Diontae Johnson,1,2,2.0,0,2
Carolina Panthers,Chuba Hubbard,4,10,2.5,0,3
Carolina Panthers,D'Onta Foreman,10,9,0.9,0,5
Carolina Panthers,Sam Darnold,2,2,1.0,0,3
Dallas Cowboys,Tony Pollard,19,75,3.9,0,21
Dallas Cowboys,Ezekiel Elliott,16,58,3.6,1,10
Dallas Cowboys,Dak Prescott,5,20,4.0,0,12
Dallas Cowboys,CeeDee Lamb,1,1,1.0,0,1
Jacksonville Jaguars,Travis Etienne Jr.,19,103,5.4,0,16
Jacksonville Jaguars,Jamal Agnew,3,52,17.3,0,30
Jacksonville Jaguars,Trevor Lawrence,3,21,7.0,0,11
Jacksonville Jaguars,JaMycal Hasty,1,13,13.0,0,13
Jacksonville Jaguars,Snoop Conner,1,3,3.0,0,3
Kansas City Chiefs,Isiah Pacheco,15,86,5.7,0,18
Kansas City Chiefs,Jerick McKinnon,10,52,5.2,1,26
Kansas City Chiefs,Patrick Mahomes,5,33,6.6,1,14
Kansas City Chiefs,Skyy Moore,2,12,6.0,0,9
Kansas City Chiefs,Ronald Jones,1,6,6.0,0,6
Houston Texans,Royce Freeman,11,51,4.6,0,11
Houston Texans,Davis Mills,5,21,4.2,1,17
Houston Texans,Dare Ogunbowale,8,14,1.8,0,3
Houston Texans,Jeff Driskel,4,8,2.0,0,9
Arizona Cardinals,James Conner,16,63,3.9,1,14
Arizona Cardinals,Trace McSorley,1,8,8.0,0,8
Arizona Cardinals,Colt McCoy,2,2,1.0,0,1
Arizona Cardinals,Keaontay Ingram,1,0,0.0,0,0
Denver Broncos,Latavius Murray,24,130,5.4,1,35
Denver Broncos,Marlon Mack,5,37,7.4,1,17
Denver Broncos,Devine Ozigbo,2,2,1.0,0,4
Denver Broncos,Andrew Beck,1,1,1.0,0,1
Denver Broncos,Brett Rypien,2,-2,-1.0,0,-1
New England Patriots,Rhamondre Stevenson,19,172,9.1,1,34
New England Patriots,Pierre Strong Jr.,4,25,6.3,0,14
New England Patriots,Kevin Harris,5,19,3.8,0,11
New England Patriots,Mac Jones,4,10,2.5,0,6
New England Patriots,Jakobi Meyers,0,-20,0.0,0,-20
Las Vegas Raiders,Josh Jacobs,22,93,4.2,0,18
Las Vegas Raiders,Zamir White,1,4,4.0,0,4
Tennessee Titans,Derrick Henry,21,104,5.0,1,13
Tennessee Titans,Malik Willis,1,8,8.0,0,8
Tennessee Titans,Hassan Haskins,1,8,8.0,0,8
Tennessee Titans,Chigoziem Okonkwo,1,6,6.0,0,6
Tennessee Titans,Ryan Tannehill,3,1,0.3,1,1
Los Angeles Chargers,Austin Ekeler,12,58,4.8,1,12
Los Angeles Chargers,Joshua Kelley,10,24,2.4,1,4
Los Angeles Chargers,Justin Herbert,1,2,2.0,0,2
Los Angeles Chargers,DeAndre Carter,1,-10,-10.0,0,-10
Cincinnati Bengals,Samaje Perine,7,24,3.4,0,9
Cincinnati Bengals,Joe Mixon,11,21,1.9,0,5
Cincinnati Bengals,Joe Burrow,3,8,2.7,0,10
Tampa Bay Buccaneers,Leonard Fournette,10,44,4.4,0,8
Tampa Bay Buccaneers,Rachaad White,11,38,3.5,0,7
Tampa Bay Buccaneers,Deven Thompkins,1,9,9.0,0,9
Tampa Bay Buccaneers,Tom Brady,2,1,0.5,0,1
Tampa Bay Buccaneers,Giovani Bernard,1,0,0.0,0,0
New York Giants,Saquon Barkley,18,87,4.8,1,15
New York Giants,Daniel Jones,10,35,3.5,0,10
New York Giants,Matt Breida,2,6,3.0,0,5
Washington Commanders,Brian Robinson Jr.,12,89,7.4,0,19
Washington Commanders,Taylor Heinicke,3,33,11.0,0,15
Washington Commanders,Antonio Gibson,5,21,4.2,0,10
Washington Commanders,Dyami Brown,1,15,15.0,0,15
Washington Commanders,Curtis Samuel,5,1,0.2,0,2
