team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
San Francisco 49ers,Brock Purdy,17/26,217,8.3,2,0,1-6,66.6,117.0
Seattle Seahawks,Geno Smith,31/44,238,5.4,1,0,3-31,47.0,90.9
Indianapolis Colts,Matt Ryan,19/33,182,5.5,1,0,3-12,31.4,83.1
Minnesota Vikings,Kirk Cousins,34/54,460,8.5,4,2,7-34,32.9,99.3
Minnesota Vikings,Ryan Wright,0/1,0,0.0,0,0,0-0,--,39.6
Baltimore Ravens,Tyler Huntley,17/30,138,4.6,0,1,3-12,12.9,54.6
Cleveland Browns,Deshaun Watson,18/28,161,5.8,1,0,3-21,42.8,91.5
Miami Dolphins,Tua Tagovailoa,17/30,234,7.8,2,0,2-17,54.7,104.0
Buffalo Bills,Josh Allen,25/40,304,7.6,4,0,2-8,58.7,119.2
Philadelphia Eagles,Jalen Hurts,22/37,315,8.5,0,2,1-6,53.6,64.6
Chicago Bears,Justin Fields,14/21,152,7.2,2,0,6-61,38.6,119.5
Chicago Bears,Nathan Peterman,0/1,0,0.0,0,0,0-0,0.8,39.6
Atlanta Falcons,Desmond Ridder,13/26,97,3.7,0,0,4-8,38.4,59.3
New Orleans Saints,Andy Dalton,11/17,151,8.9,2,0,2-17,53.1,132.2
New Orleans Saints,Taysom Hill,2/2,80,40.0,1,0,0-0,82.4,158.3
Detroit Lions,Jared Goff,23/38,252,6.6,1,0,0-0,80.2,88.9
New York Jets,Zach Wilson,18/35,317,9.1,2,1,4-30,39.2,89.8
Pittsburgh Steelers,Mitch Trubisky,17/22,179,8.1,0,0,1-10,83.1,100.4
Carolina Panthers,Sam Darnold,14/23,225,9.8,1,0,4-37,49.5,108.1
Dallas Cowboys,Dak Prescott,23/30,256,8.5,3,2,3-13,75.5,107.1
Jacksonville Jaguars,Trevor Lawrence,27/42,318,7.6,4,1,1-7,62.0,109.0
Kansas City Chiefs,Patrick Mahomes,36/41,336,8.2,2,0,2-23,93.5,117.1
Houston Texans,Davis Mills,12/24,121,5.0,2,0,0-0,52.8,92.5
Houston Texans,Jeff Driskel,2/4,8,2.0,0,0,1-4,4.7,56.2
Houston Texans,Phillip Dorsett,0/1,0,0.0,0,0,0-0,2.7,39.6
Arizona Cardinals,Trace McSorley,7/15,95,6.3,0,2,1-2,8.2,27.8
Arizona Cardinals,Colt McCoy,13/21,78,3.7,0,1,2-4,34.0,49.3
Denver Broncos,Brett Rypien,21/26,197,7.6,1,1,7-41,20.9,95.0
New England Patriots,Mac Jones,13/31,112,3.6,0,0,0-0,11.8,52.1
Las Vegas Raiders,Derek Carr,20/38,231,6.1,3,1,3-20,45.9,86.6
Tennessee Titans,Ryan Tannehill,15/22,165,7.5,0,1,4-28,31.7,71.2
Tennessee Titans,Malik Willis,3/4,20,5.0,0,0,0-0,95.9,85.4
Los Angeles Chargers,Justin Herbert,28/42,313,7.5,0,2,3-22,43.1,68.8
Cincinnati Bengals,Joe Burrow,27/39,200,5.1,4,1,2-16,57.0,104.6
Tampa Bay Buccaneers,Tom Brady,30/44,312,7.1,3,2,1-8,41.7,92.2
New York Giants,Daniel Jones,21/32,160,5.0,0,0,0-0,76.8,77.6
Washington Commanders,Taylor Heinicke,17/29,249,8.6,1,0,3-21,35.6,98.2
Los Angeles Rams,Baker Mayfield,12/21,111,5.3,1,1,5-27,19.5,67.8
Green Bay Packers,Aaron Rodgers,22/30,229,7.6,1,1,3-22,39.7,92.2
