team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Pittsburgh Steelers,Chris Boswell,1/2,50.0,34,2/2,5
Cleveland Browns,Cade York,1/1,100.0,34,2/3,5
Houston Texans,Ka'imi Fairbairn,2/2,100.0,39,2/2,8
Chicago Bears,Cairo Santos,3/3,100.0,50,2/2,11
Las Vegas Raiders,Daniel Carlson,3/3,100.0,35,1/1,10
Tennessee Titans,Randy Bullock,1/1,100.0,48,3/3,6
Kansas City Chiefs,Matt Ammendola,1/2,50.0,26,0/1,3
Indianapolis Colts,Chase McLaughlin,2/2,100.0,51,2/2,8
Buffalo Bills,Tyler Bass,1/2,50.0,30,2/2,5
Miami Dolphins,Jason Sanders,0/0,0.0,0,3/3,3
Detroit Lions,Austin Seibert,1/3,33.0,40,3/3,6
Minnesota Vikings,Greg Joseph,0/2,0.0,0,4/4,4
Baltimore Ravens,Justin Tucker,1/1,100.0,56,4/5,7
New England Patriots,Nick Folk,2/2,100.0,50,2/2,8
Cincinnati Bengals,Evan McPherson,2/3,67.0,43,3/3,9
New York Jets,Greg Zuerlein,4/4,100.0,52,0/0,12
Philadelphia Eagles,Jake Elliott,1/1,100.0,32,3/3,6
New Orleans Saints,Wil Lutz,0/2,0.0,0,2/2,2
Carolina Panthers,Eddy Pineiro,3/3,100.0,48,1/1,10
Jacksonville Jaguars,Riley Patterson,3/3,100.0,23,3/3,12
Los Angeles Chargers,Dustin Hopkins,1/1,100.0,25,1/1,4
Los Angeles Rams,Matt Gay,2/2,100.0,40,2/2,8
Arizona Cardinals,Matt Prater,4/4,100.0,49,0/0,12
Atlanta Falcons,Younghoe Koo,2/2,100.0,54,3/3,9
Seattle Seahawks,Jason Myers,3/3,100.0,32,2/2,11
Green Bay Packers,Mason Crosby,0/0,0.0,0,2/2,2
Tampa Bay Buccaneers,Ryan Succop,2/2,100.0,45,0/0,6
San Francisco 49ers,Robbie Gould,1/1,100.0,51,1/1,4
Denver Broncos,Brandon McManus,1/2,50.0,55,0/0,3
Dallas Cowboys,Brett Maher,3/4,75.0,44,2/2,11
New York Giants,Graham Gano,3/4,75.0,51,1/1,10
