team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Pittsburgh Steelers,Mitch Trubisky,20/32,207,6.5,0,0,1-3,65.5,81.1
Cleveland Browns,Jacoby Brissett,21/31,220,7.1,2,0,2-15,72.0,109.6
Houston Texans,Davis Mills,20/32,245,7.7,1,2,1-8,12.4,70.4
Chicago Bears,Justin Fields,8/17,106,6.2,0,2,5-24,17.3,27.7
Las Vegas Raiders,Derek Carr,26/44,303,6.9,2,1,1-7,68.5,85.7
Las Vegas Raiders,Mack Hollins,1/1,4,4.0,0,0,0-0,23.6,83.3
Tennessee Titans,Ryan Tannehill,19/27,264,9.8,1,1,1-12,53.2,98.4
Kansas City Chiefs,Patrick Mahomes,20/35,262,7.5,1,1,1-5,71.8,78.5
Kansas City Chiefs,Tommy Townsend,0/1,0,0.0,0,0,0-0,--,39.6
Indianapolis Colts,Matt Ryan,27/37,222,6.0,2,0,5-45,58.1,105.9
Buffalo Bills,Josh Allen,42/63,400,6.3,2,0,4-18,56.4,94.7
Miami Dolphins,Tua Tagovailoa,13/18,186,10.3,1,0,1-7,81.5,123.8
Miami Dolphins,Teddy Bridgewater,0/2,0,0.0,0,0,1-8,4.7,39.6
Detroit Lions,Jared Goff,25/41,277,6.8,1,1,0-0,74.3,79.0
Minnesota Vikings,Kirk Cousins,24/41,260,6.3,2,0,1-10,33.9,93.5
Baltimore Ravens,Lamar Jackson,18/29,218,7.5,4,1,4-12,89.0,110.3
New England Patriots,Mac Jones,22/32,321,10.0,0,3,3-19,56.2,62.1
Cincinnati Bengals,Joe Burrow,23/36,275,7.6,3,0,2-14,73.8,114.9
New York Jets,Joe Flacco,28/52,285,5.5,0,2,4-33,18.2,53.8
Philadelphia Eagles,Jalen Hurts,22/35,340,9.7,3,0,3-12,88.6,123.5
Washington Commanders,Carson Wentz,25/43,211,4.9,0,0,9-58,12.0,71.0
New Orleans Saints,Jameis Winston,25/41,353,8.6,1,2,1-11,56.1,76.6
Carolina Panthers,Baker Mayfield,12/25,170,6.8,1,0,3-22,11.5,83.8
Jacksonville Jaguars,Trevor Lawrence,28/39,262,6.7,3,0,0-0,73.4,115.5
Los Angeles Chargers,Justin Herbert,25/45,297,6.6,1,1,1-11,32.2,74.0
Los Angeles Rams,Matthew Stafford,18/25,249,10.0,0,0,1-10,68.1,103.6
Arizona Cardinals,Kyler Murray,37/58,314,5.4,0,0,2-19,29.0,77.8
Atlanta Falcons,Marcus Mariota,13/20,229,11.5,1,1,3-22,40.9,99.8
Seattle Seahawks,Geno Smith,32/44,325,7.4,2,1,2-17,61.1,99.1
Green Bay Packers,Aaron Rodgers,27/35,255,7.3,2,1,1-7,66.9,103.9
Tampa Bay Buccaneers,Tom Brady,31/42,271,6.5,1,0,3-20,54.0,98.4
San Francisco 49ers,Jimmy Garoppolo,18/29,211,7.3,1,1,4-32,14.3,81.2
Denver Broncos,Russell Wilson,20/33,184,5.6,0,0,4-24,33.6,75.8
Dallas Cowboys,Cooper Rush,21/31,215,6.9,1,0,0-0,69.5,98.2
New York Giants,Daniel Jones,20/37,196,5.3,0,1,5-27,48.4,57.9
