team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Miami Dolphins,Jason Sanders,3/4,75.0,48,0/1,9
Cincinnati Bengals,Evan McPherson,2/2,100.0,57,3/3,9
Minnesota Vikings,Greg Joseph,5/5,100.0,47,1/2,16
New Orleans Saints,Wil Lutz,1/2,50.0,60,2/2,5
Cleveland Browns,Cade York,2/2,100.0,45,2/2,8
Atlanta Falcons,Younghoe Koo,3/3,100.0,45,2/2,11
Washington Commanders,Joey Slye,1/1,100.0,45,1/1,4
Dallas Cowboys,Brett Maher,4/4,100.0,53,1/2,13
Seattle Seahawks,Jason Myers,2/3,67.0,56,6/6,12
Detroit Lions,Dominik Eberle,1/1,100.0,49,2/4,5
Tennessee Titans,Randy Bullock,1/1,100.0,44,3/3,6
Indianapolis Colts,Chase McLaughlin,1/2,50.0,27,2/2,5
Chicago Bears,Michael Badgley,4/4,100.0,40,0/0,12
New York Giants,Graham Gano,2/3,67.0,44,2/2,8
Jacksonville Jaguars,Riley Patterson,0/0,0.0,0,3/3,3
Philadelphia Eagles,Jake Elliott,1/1,100.0,28,2/3,5
New York Jets,Greg Zuerlein,1/1,100.0,38,3/3,6
Pittsburgh Steelers,Chris Boswell,2/2,100.0,59,2/2,8
Buffalo Bills,Tyler Bass,3/3,100.0,39,2/2,11
Baltimore Ravens,Justin Tucker,2/2,100.0,51,2/2,8
Los Angeles Chargers,Dustin Hopkins,2/2,100.0,37,4/4,10
Houston Texans,Ka'imi Fairbairn,1/2,50.0,40,3/3,6
Arizona Cardinals,Matt Prater,2/2,100.0,39,2/2,8
Carolina Panthers,Eddy Pineiro,1/1,100.0,54,1/1,4
New England Patriots,Nick Folk,1/1,100.0,37,3/3,6
Green Bay Packers,Mason Crosby,2/2,100.0,38,3/3,9
Denver Broncos,Brandon McManus,1/1,100.0,28,2/3,5
Las Vegas Raiders,Daniel Carlson,4/4,100.0,39,2/3,14
Kansas City Chiefs,Matthew Wright,2/2,100.0,44,5/5,11
Tampa Bay Buccaneers,Ryan Succop,1/1,100.0,45,4/4,7
Los Angeles Rams,Matt Gay,3/3,100.0,39,0/0,9
San Francisco 49ers,Robbie Gould,1/2,50.0,25,3/3,6
