team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Tampa Bay Buccaneers,Ryan Succop,0/0,0.0,0,4/4,4
Philadelphia Eagles,Jake Elliott,0/1,0.0,0,2/2,2
Miami Dolphins,Jason Sanders,2/3,67.0,33,2/2,8
Jacksonville Jaguars,Matthew Wright,3/3,100.0,54,2/2,11
Green Bay Packers,Mason Crosby,1/1,100.0,39,3/3,6
Chicago Bears,Cairo Santos,0/0,0.0,0,2/2,2
Cincinnati Bengals,Evan McPherson,2/2,100.0,40,4/4,10
Detroit Lions,Austin Seibert,1/1,100.0,35,0/0,3
Houston Texans,Ka'imi Fairbairn,1/1,100.0,31,0/0,3
Indianapolis Colts,Michael Badgley,1/1,100.0,41,4/4,7
Los Angeles Rams,Matt Gay,1/1,100.0,32,5/5,8
New York Giants,Graham Gano,1/1,100.0,27,0/0,3
Kansas City Chiefs,Harrison Butker,1/1,100.0,52,4/4,7
Washington,Dustin Hopkins,2/3,67.0,50,1/1,7
Minnesota Vikings,Greg Joseph,3/5,60.0,38,1/1,10
Carolina Panthers,Zane Gonzalez,2/2,100.0,47,2/2,8
Los Angeles Chargers,Tristan Vizcaino,0/0,0.0,0,0/1,0
Baltimore Ravens,Justin Tucker,2/2,100.0,52,4/4,10
Arizona Cardinals,Matt Prater,3/3,100.0,51,4/4,13
Cleveland Browns,Chase McLaughlin,0/0,0.0,0,2/2,2
Las Vegas Raiders,Daniel Carlson,2/3,67.0,50,4/4,10
Denver Broncos,Brandon McManus,1/1,100.0,32,3/3,6
Dallas Cowboys,Greg Zuerlein,3/4,75.0,49,2/2,11
New England Patriots,Nick Folk,0/0,0.0,0,3/3,3
Seattle Seahawks,Jason Myers,2/2,100.0,43,2/2,8
Pittsburgh Steelers,Chris Boswell,3/3,100.0,52,2/2,11
Buffalo Bills,Tyler Bass,3/3,100.0,52,2/2,11
Tennessee Titans,Randy Bullock,2/2,100.0,43,4/4,10
