team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Tampa Bay Buccaneers,Tom Brady,34/42,297,7.1,2,1,0-0,70.5,102.1
Philadelphia Eagles,Jalen Hurts,12/26,115,4.4,1,1,2-2,51.9,55.8
Miami Dolphins,Tua Tagovailoa,33/47,329,7.0,2,1,0-0,70.5,95.1
Miami Dolphins,Jacoby Brissett,1/1,25,25.0,0,0,0-0,100.0,118.8
Jacksonville Jaguars,Trevor Lawrence,25/41,319,7.8,1,0,2-7,74.0,93.4
Green Bay Packers,Aaron Rodgers,17/23,195,8.5,2,0,3-26,79.4,128.0
Chicago Bears,Justin Fields,16/27,174,6.4,1,1,4-37,45.5,75.2
Cincinnati Bengals,Joe Burrow,19/29,271,9.3,3,1,2-22,63.1,115.7
Cincinnati Bengals,Brandon Allen,1/1,7,7.0,1,0,0-0,96.9,135.4
Detroit Lions,Jared Goff,28/42,202,4.8,0,1,1-10,15.3,67.8
Houston Texans,Davis Mills,29/43,243,5.7,0,2,2-14,34.0,62.5
Indianapolis Colts,Carson Wentz,11/20,223,11.2,2,0,2-9,68.3,127.7
Los Angeles Rams,Matthew Stafford,22/28,251,9.0,4,1,2-17,83.2,128.7
Los Angeles Rams,John Wolford,0/2,0,0.0,0,1,0-0,0.0,0.0
New York Giants,Daniel Jones,29/51,242,4.7,0,3,4-41,8.9,44.7
Kansas City Chiefs,Patrick Mahomes,32/47,397,8.4,2,2,3-7,57.4,90.5
Washington,Taylor Heinicke,24/39,182,4.7,1,1,0-0,35.4,70.7
Minnesota Vikings,Kirk Cousins,33/48,373,7.8,3,0,0-0,61.6,112.6
Carolina Panthers,Sam Darnold,17/41,207,5.0,1,1,4-19,36.2,55.6
Los Angeles Chargers,Justin Herbert,22/39,195,5.0,1,1,2-13,17.7,67.8
Baltimore Ravens,Lamar Jackson,19/27,167,6.2,1,2,3-27,59.1,68.0
Arizona Cardinals,Kyler Murray,20/30,229,7.6,4,0,2-21,77.1,129.0
Cleveland Browns,Baker Mayfield,19/28,234,8.4,2,1,5-23,29.9,102.4
Cleveland Browns,Case Keenum,1/3,6,2.0,0,0,0-0,2.9,42.4
Las Vegas Raiders,Derek Carr,18/27,341,12.6,2,0,2-1,85.9,134.4
Denver Broncos,Teddy Bridgewater,35/49,334,6.8,3,3,5-25,28.4,84.9
Dallas Cowboys,Dak Prescott,36/51,445,8.7,3,1,0-0,62.7,108.7
New England Patriots,Mac Jones,15/21,229,10.9,2,1,2-14,52.7,118.9
Seattle Seahawks,Geno Smith,23/32,209,6.5,1,0,5-44,30.7,99.6
Pittsburgh Steelers,Ben Roethlisberger,29/40,229,5.7,1,0,1-3,46.7,94.7
Buffalo Bills,Josh Allen,35/47,353,7.5,3,1,3-18,73.9,107.8
Tennessee Titans,Ryan Tannehill,18/29,216,7.4,0,1,0-0,72.8,70.5
