team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
New Orleans Saints,Blake Grupe,0/0,0.0,0,2/2,2
Los Angeles Rams,Lucas Havrisik,3/4,75.0,32,3/3,12
Cincinnati Bengals,Evan McPherson,1/1,100.0,35,0/0,3
Pittsburgh Steelers,Chris Boswell,2/2,100.0,50,4/4,10
Buffalo Bills,Tyler Bass,1/1,100.0,29,3/3,6
Los Angeles Chargers,Cameron Dicker,5/5,100.0,53,1/1,16
Indianapolis Colts,Matt Gay,1/1,100.0,33,1/1,4
Atlanta Falcons,Younghoe Koo,5/5,100.0,47,2/2,17
Seattle Seahawks,Jason Myers,2/2,100.0,28,2/2,8
Tennessee Titans,Nick Folk,1/1,100.0,33,2/2,5
Detroit Lions,Michael Badgley,1/1,100.0,37,3/4,6
Minnesota Vikings,Greg Joseph,1/1,100.0,26,3/3,6
Washington Commanders,Joey Slye,0/0,0.0,0,4/4,4
New York Jets,Greg Zuerlein,3/3,100.0,54,3/3,12
Green Bay Packers,Anders Carlson,2/2,100.0,53,3/4,9
Carolina Panthers,Eddy Pineiro,1/1,100.0,52,1/3,4
Cleveland Browns,Dustin Hopkins,0/0,0.0,0,2/2,2
Houston Texans,Ka'imi Fairbairn,0/0,0.0,0,2/2,2
Jacksonville Jaguars,Brandon McManus,0/1,0.0,0,0/0,0
Tampa Bay Buccaneers,Chase McLaughlin,3/3,100.0,51,3/3,12
Arizona Cardinals,Matt Prater,1/1,100.0,55,1/1,4
Chicago Bears,Cairo Santos,2/2,100.0,49,3/3,9
Dallas Cowboys,Brandon Aubrey,2/2,100.0,43,2/2,8
Miami Dolphins,Jason Sanders,5/5,100.0,57,1/1,16
New England Patriots,Chad Ryland,2/3,67.0,56,2/3,8
Denver Broncos,Wil Lutz,0/1,0.0,0,1/1,1
Las Vegas Raiders,Daniel Carlson,2/2,100.0,35,0/0,6
Kansas City Chiefs,Harrison Butker,0/1,0.0,0,2/2,2
New York Giants,Mason Crosby,1/1,100.0,52,2/2,5
Philadelphia Eagles,Jake Elliott,4/4,100.0,44,3/3,15
Baltimore Ravens,Justin Tucker,4/4,100.0,41,3/3,15
San Francisco 49ers,Jake Moody,1/1,100.0,45,2/2,5
