team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
New Orleans Saints,Derek Carr,27/40,319,8.0,3,1,2-15,72.6,106.1
Los Angeles Rams,Matthew Stafford,24/34,328,9.6,2,0,1-3,92.1,120.7
Cincinnati Bengals,Jake Browning,28/42,335,8.0,1,3,3-26,25.1,69.0
Pittsburgh Steelers,Mason Rudolph,17/27,290,10.7,2,0,1-6,80.3,124.0
Buffalo Bills,Josh Allen,15/21,237,11.3,1,1,1-7,91.3,104.7
Los Angeles Chargers,Easton Stick,23/33,215,6.5,0,0,5-40,38.5,87.3
Indianapolis Colts,Gardner Minshew,20/37,201,5.4,0,1,6-31,59.5,58.5
Atlanta Falcons,Taylor Heinicke,23/33,229,6.9,1,0,1-0,59.0,99.2
Seattle Seahawks,Geno Smith,25/36,227,6.3,2,0,3-12,75.8,104.7
Tennessee Titans,Ryan Tannehill,18/26,152,5.8,0,0,6-39,37.7,84.1
Tennessee Titans,Derrick Henry,1/1,12,12.0,1,0,0-0,99.8,156.2
Detroit Lions,Jared Goff,30/40,257,6.4,1,0,1-11,67.5,99.7
Minnesota Vikings,Nick Mullens,22/36,411,11.4,2,4,4-38,38.1,79.5
Washington Commanders,Jacoby Brissett,10/13,100,7.7,1,0,0-0,96.2,123.9
Washington Commanders,Sam Howell,6/22,56,2.5,0,2,1-13,2.1,1.7
New York Jets,Trevor Siemian,27/49,217,4.4,1,1,0-0,13.9,64.8
Green Bay Packers,Jordan Love,17/28,219,7.8,2,0,1-12,90.2,109.1
Carolina Panthers,Bryce Young,23/36,312,8.7,2,0,2-14,80.8,110.0
Cleveland Browns,Joe Flacco,27/42,368,8.8,3,2,0-0,87.0,96.1
Cleveland Browns,Dorian Thompson-Robinson,1/2,6,3.0,0,0,1-10,71.0,56.2
Houston Texans,Davis Mills,15/32,149,4.7,2,0,0-0,70.4,81.4
Houston Texans,Case Keenum,11/17,62,3.6,0,2,3-33,6.3,31.6
Jacksonville Jaguars,Trevor Lawrence,17/29,211,7.3,1,2,3-28,14.4,64.0
Jacksonville Jaguars,C.J. Beathard,11/15,94,6.3,1,0,1-9,47.1,111.5
Tampa Bay Buccaneers,Baker Mayfield,26/35,283,8.1,2,0,2-18,91.2,116.7
Arizona Cardinals,Kyler Murray,24/38,230,6.1,2,0,2-17,20.4,97.5
Chicago Bears,Justin Fields,15/27,170,6.3,1,1,1-0,63.5,71.5
Dallas Cowboys,Dak Prescott,20/32,253,7.9,2,0,4-11,51.8,107.9
Miami Dolphins,Tua Tagovailoa,24/37,293,7.9,1,0,1-9,67.2,98.1
New England Patriots,Bailey Zappe,25/33,256,7.8,2,0,2-26,71.7,117.7
Denver Broncos,Russell Wilson,25/37,238,6.4,2,0,5-45,54.0,103.2
Las Vegas Raiders,Aidan O'Connell,9/21,62,3.0,0,0,2-14,11.1,50.3
Kansas City Chiefs,Patrick Mahomes,27/44,235,5.3,1,1,4-23,31.6,73.6
Kansas City Chiefs,Tommy Townsend,1/1,11,11.0,0,0,0-0,--,112.5
New York Giants,Tyrod Taylor,7/16,133,8.3,1,1,0-0,77.9,68.0
New York Giants,Tommy DeVito,9/16,55,3.4,0,0,1-2,14.3,63.3
Philadelphia Eagles,Jalen Hurts,24/38,301,7.9,1,1,1-6,69.4,85.5
Baltimore Ravens,Lamar Jackson,23/35,252,7.2,2,0,2-11,84.7,105.9
San Francisco 49ers,Brock Purdy,18/32,255,8.0,0,4,2-8,7.1,42.6
San Francisco 49ers,Sam Darnold,8/14,81,5.8,1,1,2-20,65.8,67.9
