team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Green Bay Packers,Christian Watson,5,94,18.8,1,53,7
Green Bay Packers,Malik Heath,4,46,11.5,0,16,4
Green Bay Packers,AJ Dillon,3,38,12.7,0,22,3
Green Bay Packers,Romeo Doubs,3,37,12.3,0,16,4
Green Bay Packers,Jayden Reed,4,34,8.5,1,14,8
Green Bay Packers,Tucker Kraft,2,15,7.5,1,9,2
Green Bay Packers,Patrick Taylor,1,4,4.0,0,4,1
Green Bay Packers,Ben Sims,0,0,0.0,0,0,1
Detroit Lions,Amon-Ra St. Brown,9,95,10.6,0,28,11
Detroit Lions,Kalif Raymond,5,90,18.0,0,24,5
Detroit Lions,Jameson Williams,2,51,25.5,0,38,3
Detroit Lions,Sam LaPorta,5,47,9.4,1,31,8
Detroit Lions,Jahmyr Gibbs,4,19,4.8,0,7,8
Detroit Lions,Josh Reynolds,2,15,7.5,1,12,4
Detroit Lions,Brock Wright,1,9,9.0,0,9,1
Detroit Lions,Malcolm Rodriguez,1,6,6.0,0,6,1
Detroit Lions,David Montgomery,0,0,0.0,0,0,1
Washington Commanders,Curtis Samuel,9,100,11.1,0,30,12
Washington Commanders,Jahan Dotson,5,52,10.4,0,15,6
Washington Commanders,Terry McLaurin,4,50,12.5,0,24,11
Washington Commanders,Cole Turner,1,29,29.0,0,29,1
Washington Commanders,Byron Pringle,2,27,13.5,0,16,2
Washington Commanders,Antonio Gibson,3,16,5.3,0,11,4
Washington Commanders,Logan Thomas,2,15,7.5,0,13,4
Washington Commanders,Brian Robinson Jr.,2,11,5.5,0,19,3
Washington Commanders,Dyami Brown,0,0,0.0,0,0,1
Dallas Cowboys,Brandin Cooks,4,72,18.0,1,31,5
Dallas Cowboys,CeeDee Lamb,4,53,13.3,1,16,9
Dallas Cowboys,Jalen Tolbert,2,49,24.5,0,31,3
Dallas Cowboys,Jake Ferguson,1,35,35.0,0,35,3
Dallas Cowboys,KaVontae Turpin,1,34,34.0,1,34,1
Dallas Cowboys,Jalen Brooks,1,24,24.0,0,24,1
Dallas Cowboys,Tony Pollard,6,24,4.0,0,10,6
Dallas Cowboys,Rico Dowdle,1,15,15.0,1,15,1
Dallas Cowboys,Michael Gallup,1,13,13.0,0,13,1
Dallas Cowboys,Luke Schoonmaker,1,12,12.0,0,12,2
San Francisco 49ers,Deebo Samuel,7,79,11.3,0,24,9
San Francisco 49ers,Brandon Aiyuk,2,50,25.0,1,28,4
San Francisco 49ers,Christian McCaffrey,5,25,5.0,0,14,6
San Francisco 49ers,Ray-Ray McCloud III,1,23,23.0,0,23,1
San Francisco 49ers,George Kittle,3,19,6.3,0,11,5
San Francisco 49ers,Charlie Woerner,1,9,9.0,0,9,1
San Francisco 49ers,Jauan Jennings,1,7,7.0,0,7,2
San Francisco 49ers,Kyle Juszczyk,0,0,0.0,0,0,1
San Francisco 49ers,Elijah Mitchell,1,-3,-3.0,0,-3,1
Seattle Seahawks,Jaxon Smith-Njigba,2,41,20.5,0,34,3
Seattle Seahawks,DK Metcalf,3,32,10.7,0,14,9
Seattle Seahawks,Tyler Lockett,3,30,10.0,0,11,5
Seattle Seahawks,Noah Fant,2,25,12.5,0,16,2
Seattle Seahawks,Will Dissly,1,21,21.0,0,21,1
Seattle Seahawks,Zach Charbonnet,4,11,2.8,0,7,4
Seattle Seahawks,Colby Parkinson,1,9,9.0,0,9,1
Seattle Seahawks,Jake Bobo,1,6,6.0,0,6,1
Seattle Seahawks,DeeJay Dallas,1,5,5.0,0,5,1
Miami Dolphins,Jaylen Waddle,8,114,14.3,0,32,8
Miami Dolphins,Tyreek Hill,9,102,11.3,1,35,12
Miami Dolphins,Jeff Wilson Jr.,3,17,5.7,0,7,3
Miami Dolphins,Durham Smythe,1,10,10.0,0,10,3
Miami Dolphins,Raheem Mostert,0,0,0.0,0,0,1
Miami Dolphins,Braxton Berrios,0,0,0.0,0,0,1
New York Jets,Garrett Wilson,7,44,6.3,1,11,10
New York Jets,Tyler Conklin,4,33,8.3,0,9,5
New York Jets,Breece Hall,7,24,3.4,0,13,9
New York Jets,Jason Brownlee,2,20,10.0,0,12,2
New York Jets,Dalvin Cook,2,19,9.5,0,12,3
New York Jets,Jeremy Ruckert,2,18,9.0,0,9,4
New York Jets,Xavier Gipson,2,15,7.5,0,8,2
New York Jets,Nick Bawden,1,6,6.0,0,6,1
New Orleans Saints,Chris Olave,7,114,16.3,0,51,9
New Orleans Saints,Taysom Hill,2,55,27.5,0,36,2
New Orleans Saints,Alvin Kamara,4,50,12.5,0,20,5
New Orleans Saints,Juwan Johnson,4,45,11.3,0,23,7
New Orleans Saints,Keith Kirkwood,2,20,10.0,0,13,3
New Orleans Saints,Rashid Shaheed,2,9,4.5,0,5,5
New Orleans Saints,A.T. Perry,1,7,7.0,0,7,2
New Orleans Saints,Jamaal Williams,2,4,2.0,0,4,2
New Orleans Saints,Lynn Bowden Jr.,0,0,0.0,0,0,2
Atlanta Falcons,Drake London,5,91,18.2,0,29,7
Atlanta Falcons,Bijan Robinson,3,32,10.7,1,26,6
Atlanta Falcons,Kyle Pitts,2,22,11.0,0,11,2
Atlanta Falcons,Van Jefferson,1,13,13.0,0,13,2
Atlanta Falcons,Keith Smith,1,6,6.0,0,6,1
Atlanta Falcons,Scott Miller,1,4,4.0,0,4,2
Pittsburgh Steelers,Pat Freiermuth,9,120,13.3,0,29,11
Pittsburgh Steelers,George Pickens,3,58,19.3,0,43,5
Pittsburgh Steelers,Diontae Johnson,4,50,12.5,0,39,8
Pittsburgh Steelers,Jaylen Warren,3,13,4.3,0,15,3
