team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Green Bay Packers,Anders Carlson,1/2,50.0,43,2/3,5
Detroit Lions,Riley Patterson,0/0,0.0,0,0/1,0
Washington Commanders,Joey Slye,1/1,100.0,43,1/1,4
Dallas Cowboys,Brandon Aubrey,1/1,100.0,52,4/5,7
San Francisco 49ers,Jake Moody,1/1,100.0,32,4/4,7
Seattle Seahawks,Jason Myers,2/3,67.0,51,1/1,7
Miami Dolphins,Jason Sanders,2/2,100.0,54,4/4,10
New York Jets,Greg Zuerlein,0/0,0.0,0,1/2,1
New Orleans Saints,Blake Grupe,5/6,83.0,52,0/0,15
Atlanta Falcons,Younghoe Koo,1/1,100.0,39,3/3,6
Pittsburgh Steelers,Chris Boswell,3/3,100.0,41,1/1,10
Cincinnati Bengals,Evan McPherson,1/1,100.0,47,1/1,4
Carolina Panthers,Eddy Pineiro,1/1,100.0,50,1/1,4
Tennessee Titans,Nick Folk,1/1,100.0,53,2/2,5
Tampa Bay Buccaneers,Chase McLaughlin,2/2,100.0,24,2/2,8
Indianapolis Colts,Matt Gay,2/3,67.0,46,3/3,9
New England Patriots,Chad Ryland,0/1,0.0,0,1/1,1
New York Giants,Randy Bullock,1/1,100.0,42,1/1,4
Jacksonville Jaguars,Brandon McManus,3/4,75.0,53,1/1,10
Houston Texans,Matt Ammendola,0/2,0.0,0,3/3,3
Cleveland Browns,Dustin Hopkins,2/2,100.0,36,0/0,6
Denver Broncos,Wil Lutz,2/2,100.0,34,3/3,9
Los Angeles Rams,Lucas Havrisik,1/2,50.0,24,4/5,7
Arizona Cardinals,Matt Prater,0/1,0.0,0,0/0,0
Kansas City Chiefs,Harrison Butker,1/1,100.0,32,4/4,7
Las Vegas Raiders,Daniel Carlson,1/2,50.0,34,2/2,5
Buffalo Bills,Tyler Bass,2/4,50.0,48,4/4,10
Philadelphia Eagles,Jake Elliott,1/1,100.0,59,4/4,7
Baltimore Ravens,Justin Tucker,2/3,67.0,48,2/2,8
Los Angeles Chargers,Cameron Dicker,1/1,100.0,39,1/1,4
Chicago Bears,Cairo Santos,4/5,80.0,55,0/0,12
Minnesota Vikings,Greg Joseph,1/1,100.0,34,1/1,4
