team,player,fumbles,fumblesLost,fumblesRecovered
Green Bay Packers,Rashan Gary,0,0,1
Green Bay Packers,Jonathan Owens,0,0,1
Green Bay Packers,Karl Brooks,0,0,1
Detroit Lions,Jared Goff,3,3,0
Dallas Cowboys,Tony Pollard,1,0,0
Dallas Cowboys,CeeDee Lamb,0,0,1
San Francisco 49ers,Ray-Ray McCloud III,1,0,0
San Francisco 49ers,Oren Burks,0,0,1
San Francisco 49ers,Ronnie Bell,0,0,1
Seattle Seahawks,DeeJay Dallas,1,1,0
Miami Dolphins,Tua Tagovailoa,1,1,0
Miami Dolphins,Braxton Berrios,1,0,1
New York Jets,Tim Boyle,2,0,0
New York Jets,Ashtyn Davis,0,0,1
New York Jets,Xavier Newman,0,0,1
New York Jets,Breece Hall,0,0,1
New Orleans Saints,Taysom Hill,1,1,0
New Orleans Saints,Derek Carr,1,0,0
New Orleans Saints,A.T. Perry,0,0,1
Atlanta Falcons,Albert Huggins,0,0,1
Pittsburgh Steelers,Jaylen Warren,1,1,0
Cincinnati Bengals,Jake Browning,1,0,0
Cincinnati Bengals,Jonah Williams,0,0,1
Cincinnati Bengals,DJ Turner II,0,0,1
Carolina Panthers,Bryce Young,1,1,0
Tennessee Titans,Jeffery Simmons,0,0,1
Tampa Bay Buccaneers,Baker Mayfield,2,1,0
Tampa Bay Buccaneers,Rachaad White,0,0,1
Indianapolis Colts,Gardner Minshew,1,0,1
Indianapolis Colts,Dayo Odeyingbo,0,0,1
New England Patriots,DeMario Douglas,2,0,1
New England Patriots,Mac Jones,1,0,0
New England Patriots,Jabrill Peppers,0,0,1
New England Patriots,Cole Strange,0,0,1
New York Giants,Tommy DeVito,2,1,1
New York Giants,Nick McCloud,1,0,1
Cleveland Browns,PJ Walker,2,1,0
Cleveland Browns,Harrison Bryant,1,1,0
Cleveland Browns,Elijah Moore,1,1,0
Cleveland Browns,Dorian Thompson-Robinson,1,0,0
Cleveland Browns,Kareem Hunt,0,0,1
Cleveland Browns,Dawand Jones,0,0,1
Cleveland Browns,Alex Wright,0,0,1
Denver Broncos,Russell Wilson,2,1,1
Denver Broncos,Mike Purcell,0,0,1
Denver Broncos,Alex Singleton,0,0,1
Denver Broncos,D.J. Jones,0,0,1
Buffalo Bills,Khalil Shakir,1,0,1
Buffalo Bills,Greg Rousseau,0,0,1
Philadelphia Eagles,Jalen Hurts,1,1,0
Baltimore Ravens,Lamar Jackson,1,0,0
Baltimore Ravens,Jadeveon Clowney,0,0,1
Baltimore Ravens,Brent Urban,0,0,1
Baltimore Ravens,Michael Pierce,0,0,1
Baltimore Ravens,John Simpson,0,0,1
Los Angeles Chargers,Keenan Allen,1,1,0
Los Angeles Chargers,Austin Ekeler,1,1,0
Los Angeles Chargers,Justin Herbert,1,1,0
Chicago Bears,Justin Fields,2,2,0
Chicago Bears,Roschon Johnson,1,0,0
Chicago Bears,Lucas Patrick,0,0,1
Minnesota Vikings,K.J. Osborn,1,0,1
Minnesota Vikings,Alexander Mattison,1,0,1
Minnesota Vikings,Anthony Barr,0,0,1
Minnesota Vikings,Sheldon Day,0,0,1
