team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Chicago Bears,Cairo Santos,4/4,100.0,43,4/4,16
Washington Commanders,Joey Slye,2/3,67.0,51,0/0,6
Jacksonville Jaguars,Brandon McManus,1/1,100.0,44,2/2,5
Buffalo Bills,Tyler Bass,0/0,0.0,0,2/2,2
Houston Texans,Ka'imi Fairbairn,4/4,100.0,43,1/1,13
Atlanta Falcons,Younghoe Koo,2/2,100.0,37,1/1,7
Carolina Panthers,Eddy Pineiro,1/1,100.0,33,3/3,6
Detroit Lions,Riley Patterson,0/0,0.0,0,6/6,6
Tennessee Titans,Nick Folk,3/3,100.0,53,1/1,10
Indianapolis Colts,Matt Gay,3/3,100.0,43,2/2,11
New York Giants,Graham Gano,3/4,75.0,51,1/1,10
Miami Dolphins,Jason Sanders,1/1,100.0,40,4/4,7
New Orleans Saints,Blake Grupe,2/2,100.0,54,4/4,10
New England Patriots,Chad Ryland,0/1,0.0,0,0/0,0
Baltimore Ravens,Justin Tucker,1/1,100.0,23,1/1,4
Pittsburgh Steelers,Chris Boswell,3/3,100.0,43,0/0,9
Philadelphia Eagles,Jake Elliott,3/3,100.0,34,2/2,11
Los Angeles Rams,Brett Maher,0/0,0.0,0,2/2,2
Cincinnati Bengals,Evan McPherson,2/2,100.0,40,4/4,10
Arizona Cardinals,Matt Prater,0/0,0.0,0,2/3,2
New York Jets,Greg Zuerlein,5/5,100.0,49,2/2,17
Denver Broncos,Wil Lutz,2/2,100.0,23,1/1,7
Kansas City Chiefs,Harrison Butker,2/2,100.0,40,3/3,9
Minnesota Vikings,Greg Joseph,2/2,100.0,40,2/2,8
Dallas Cowboys,Brandon Aubrey,1/1,100.0,50,1/1,4
San Francisco 49ers,Jake Moody,0/0,0.0,0,6/6,6
Green Bay Packers,Anders Carlson,2/2,100.0,37,1/1,7
Las Vegas Raiders,Daniel Carlson,1/3,33.0,26,2/2,5
