team,player,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingTargets
Chicago Bears,DJ Moore,8,230,28.8,3,58,10
Chicago Bears,Cole Kmet,5,42,8.4,1,23,5
Chicago Bears,Robert Tonyan,2,10,5.0,0,7,2
Chicago Bears,Equanimeous St. Brown,0,0,0.0,0,0,1
Chicago Bears,Khalil Herbert,0,0,0.0,0,0,3
Chicago Bears,Darnell Mooney,0,0,0.0,0,0,4
Washington Commanders,Logan Thomas,9,77,8.6,1,24,11
Washington Commanders,Curtis Samuel,6,65,10.8,1,25,7
Washington Commanders,Antonio Gibson,4,64,16.0,0,41,6
Washington Commanders,Terry McLaurin,4,49,12.3,0,32,5
Washington Commanders,Brian Robinson Jr.,4,33,8.3,0,24,4
Washington Commanders,Jahan Dotson,3,30,10.0,0,14,5
Washington Commanders,Jamison Crowder,2,21,10.5,0,11,2
Washington Commanders,John Bates,2,19,9.5,0,10,2
Washington Commanders,Dyami Brown,1,11,11.0,0,11,3
Washington Commanders,Byron Pringle,1,10,10.0,0,10,2
Washington Commanders,Cole Turner,1,9,9.0,0,9,1
Jacksonville Jaguars,Calvin Ridley,7,122,17.4,0,32,8
Jacksonville Jaguars,Christian Kirk,6,78,13.0,0,30,8
Jacksonville Jaguars,Travis Etienne Jr.,4,48,12.0,0,22,5
Jacksonville Jaguars,Evan Engram,4,28,7.0,0,9,8
Jacksonville Jaguars,Zay Jones,3,23,7.7,1,10,5
Jacksonville Jaguars,Luke Farrell,1,16,16.0,0,16,1
Jacksonville Jaguars,Tim Jones,0,0,0.0,0,0,1
Jacksonville Jaguars,Brenton Strange,0,0,0.0,0,0,1
Buffalo Bills,Stefon Diggs,8,121,15.1,1,48,11
Buffalo Bills,Gabe Davis,6,100,16.7,1,29,8
Buffalo Bills,Deonte Harty,2,62,31.0,0,43,2
Buffalo Bills,James Cook,3,25,8.3,0,18,4
Buffalo Bills,Dalton Kincaid,2,19,9.5,0,14,2
Buffalo Bills,Dawson Knox,3,17,5.7,0,11,6
